path	action	first	count	mask	completion	case_key_sha256	full_record_sha256
local-sibling-contention	lock-shared	0	1	01	route-unknown-prior-quarantine	cd08535c5bd0e3506cc7b7d1ae43a8d3029f9f74b0b02e2e36e28e3a01fc29ea	19b30b4aa56a19ce8d6123640c4dfcd3b5b601a3a6f2a6041ab58f65372455bb
local-sibling-contention	lock-shared	1	1	02	route-unknown-prior-quarantine	64a28d0220d4da273b10bffbd6375cc4695fa5b769fc19f8e2005e0eb4e18463	ebf161607aed02017579569df0e0d926cdd20d51267d3656434b8c001dd56d73
local-sibling-contention	lock-shared	2	1	04	route-unknown-prior-quarantine	84b56264418e4cac407423c11d0cc03c42b34e815f57cc8b259f204ca4292a94	0d11fb68aafaccc899a776a70b6336b0e07280c1e85164c9b83fd66e9c660ab5
local-sibling-contention	lock-shared	3	1	08	route-unknown-prior-quarantine	c3f4355ed7477d66c62279ef847210822f2c3a552c78f4cc0057020dc307cfe4	e3f26ac353401274c90e32787b858ab904e2663fed010a1e136f88c02d8e5d1b
local-sibling-contention	lock-shared	4	1	10	route-unknown-prior-quarantine	33e2047be1f8d4729cb9b09331d97da349a14ab438a4b971a3d38d81a0b4b45b	d5d238b45951a8dbc9fb23e55df0627300c24e07cd1507a23ce3bccec3d93c05
local-sibling-contention	lock-shared	5	1	20	route-unknown-prior-quarantine	5439da81e548759cd251a72b80189e785e9f1bbb15b5fd0a3912d92a23b06cc1	489abfce9cd29b64ea368694acae9ae6ddb878684257f88f5769b862d5ba454e
local-sibling-contention	lock-shared	6	1	40	route-unknown-prior-quarantine	4371addc7b159938b838493a379e923bd5bcc0fa39fdbcc8dbf61904aea8c73e	ef3e354d9fd2c03ee9116f895042a93e37147e866476cf0790a36cc6b301fbbf
local-sibling-contention	lock-shared	7	1	80	route-unknown-prior-quarantine	67e9d6ce9518d8935ce0ed6f88c8e852d022fff20845434843eb848e561bcc71	b721018f672cdf1b851f5a14b85a3ec1aa16c60aa4521292c1a9bcabd9b2ef0d
local-sibling-contention	lock-exclusive	0	1	01	route-unknown-prior-quarantine	6ec5be9df2290ad9eb057de95dcea266c493dd74b24eb31e6b0a61293eace90c	16b027edf65e325a2c238280baeea756850b311b5840b92d1d8f39f7443fe3f3
local-sibling-contention	lock-exclusive	1	1	02	route-unknown-prior-quarantine	d44759baa38bf2e61b097afd5483a5ca26eb92922af73c28c4cb611113250ddb	18668bd07d9d735aa19d35158a97665116fb4ab7ed299c0f380e4b7ac54d4625
local-sibling-contention	lock-exclusive	2	1	04	route-unknown-prior-quarantine	d6ad0c6636cd8b585ce03e77ef2490199f218daee182628c4a197602fbd34e52	878dd5bd0a56699e3de8e8141fbc9cae5ddc20cf97c11d246e304a4cdd511521
local-sibling-contention	lock-exclusive	3	1	08	route-unknown-prior-quarantine	32e70dd9f83b55563f2fae2692a06743ea472756db220181abce462880d32a6c	304a15c74f066993a1cde2b1fe52880b7118834f597055f9c17e3701f5b80b7c
local-sibling-contention	lock-exclusive	4	1	10	route-unknown-prior-quarantine	18b251e1db4f1d217527389ffcdccc319a1b0e2103ab2898ba2fcc5811ddf89c	192c6a00d4277442282d1c3017c8d8dafbdf9ed1c2e911e0d01ec35e7736a0e4
local-sibling-contention	lock-exclusive	5	1	20	route-unknown-prior-quarantine	a5b3e69fcdc0aa28e2ed050ed9c90cf03e854936dce858bff7941095077a837e	c604b8139b09bc6571e2020c72ab890e447a2e16416506f5f8cb9cf5f2c61403
local-sibling-contention	lock-exclusive	6	1	40	route-unknown-prior-quarantine	f2c636c6b276d48ac633d80c9ffe635343213dd0d032cc47d7375a0dc1e4b6a5	090846713f5971397d4f0ceae320d13defadbfc08e020a2bb7ce6b4c72cfb151
local-sibling-contention	lock-exclusive	7	1	80	route-unknown-prior-quarantine	d8213396b5fcc32643f540ba0b06d0162607f61641401eaeb3506b2dd82a1ba4	376684c12964fae35894f7351718fc2cd35264ae613996ee8ec528d342cd6bb4
