action	first	count	mask	rejection	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	own-overlap	completed	0e5a54741b5bcdc259d80c353f7eaf834d800cc05630de5fbb355b1f52467654	e1bbcd5a492653619506f077407ebaee933b080187d880ac578f7188a71924b5
lock-shared	1	1	02	own-overlap	completed	0e84b930348daaa10b77fe37fcfec8d7b2563323fe9b9313607a31eb101f8408	031d38f458fd23eeffd5a608d15049eff4a395ddc6d9264650ee9e42ccd1c86a
lock-shared	2	1	04	own-overlap	completed	715a5333187258b6fe555c8a6a56ba71490c8d493260891ce80766d32c12dcc9	881c7a590654e59a9f4d5f812b839f8c9af753b0ae5c252c420b3ca023a4ede0
lock-shared	3	1	08	own-overlap	completed	bd40d627d8edc3c801d927de01af5a41bc3579cae08d21aaabca6cf9c3477b2e	8a122a53bc5d1de8f05fac6fec476e633e60ed4704a4e060684ce7dd3dd00c2f
lock-shared	4	1	10	own-overlap	completed	7ab019f2d9d5e8520407f8fc68de86f6b446c06c159e1d56dcfce72f6c8a5eae	437ff12e11c87b26c27e42905bfc4f54099a0ee1a7523cbf6fa1b7983c7800d8
lock-shared	5	1	20	own-overlap	completed	0d2f86a3c02b0e778a49a3ae2cceb57d7397ca2964ec26107dc896e3151d2ee0	3388c619d7c5ad32721183b994d533d9620d87b4048805688e45d6e397d96291
lock-shared	6	1	40	own-overlap	completed	c5239e0c9a6d3e82b4a6c49846d7955106ec0e713d6d4d9033757a5b344ada60	479b5a45b1b80922e77adb7e9d52808d63a52568f882ee1f499cb1d97adcd580
lock-shared	7	1	80	own-overlap	completed	7cd1b2b271d4ff32b09de7e864e079ec95a0787ea3c090d0104a136a6b74e049	c48c5024d64b8bed886390ac0a06a4646c9021a5f770c93c53eca5adf47aa13d
lock-exclusive	0	1	01	own-overlap	completed	fb9a4c80f42fc05908cf9d4d99d22e842634287c3c9866dd5b674ad0c744c238	06744653157162652e278f9bbc0ca6a99682889d5c39216d9c47de7945d18c1f
lock-exclusive	1	1	02	own-overlap	completed	58de7626bdd7bd2f56f90de5951ef03623a13003dc23831a89af992f7d36840b	b402941a535d4e277eebf5116c6fb589bdd7b861470b2f4da9f2ba1a3dcc7117
lock-exclusive	2	1	04	own-overlap	completed	cfa6a982d2121dbe369a19f110b65a724182458cdede7cdc3960ea78b311664c	ef46bad1f8c08c1077af4eb0ab18f7f0a8b1d6878758e7dd623975004809da04
lock-exclusive	3	1	08	own-overlap	completed	0a42a99532076528de56d318941c55f753ff2ac5c30d81f35324ca44892afe35	7477455f76542fdc6ee03f6ffdd9eed5a7850cfa11ac339291c23b56d0d81948
lock-exclusive	4	1	10	own-overlap	completed	9b877e7819d4662f19d652ffd416ed3dccfdfea38b26c7624a7f22cc7d548476	5a9d1555274f608c469632126739f850bbf86697a90b811a3713253a258efc93
lock-exclusive	5	1	20	own-overlap	completed	8efb1588ca0547f349a960c88823825d5c95c2f72608929ef7a88c71cb974860	dbfade452ce86291bdd72f3708bb2c4002a35ddeaddc211d35676e44e13745c9
lock-exclusive	6	1	40	own-overlap	completed	4478abc7dedcfe94469f21b4bf517df245dea3e3c00126edccc536bd0f2054a2	561efbccb3fff9ac23c05e0ae3870319fdae00b6eb1f4cb3cf2570a7a86ee44f
lock-exclusive	7	1	80	own-overlap	completed	fb0912bd732df93a887a0f418211fc5c81c65c68a66e7a333fdc6b338ea4b77f	9936191392ae06500b166362d4f334ad673d694f93b2b2fb86efa4a81d5f4247
lock-exclusive	0	2	03	own-overlap	completed	aab731cee2bf2b545959493c6291800d137fb0c6b9abf4bb51e9485266f67967	03847df4de2ebd8b50996197389cb24498ddc26978a594fa9abce56b684a774e
lock-exclusive	1	2	06	own-overlap	completed	974d69743e7512aa4047a66122309276c493af7b5277d5bd9082194c30a51120	4a50c2c307bdfd04822370db2c71223f886952faf941cfadcdafa9b721d56b48
lock-exclusive	2	2	0c	own-overlap	completed	f686734ca593830892fc60cdda1d0539cf1207312615e800323d9929cbd7eb97	88318516dff2d82984a0537629ee91b16e1b6f9a4625901f92f2e67510b498e7
lock-exclusive	3	2	18	own-overlap	completed	b70492d4400b31aa9bf99445a4b07d167bb1c34b7d309cd42de35ae486ba61d2	337e9d37d2032342bcffb58bfb3c63edc2269fd1b321d71c1f530c49f133fa47
lock-exclusive	4	2	30	own-overlap	completed	d446681dac01d4d027404552fa431b2cccbd1059ffc2d1b7e1a0ce84c41151b9	a7765877ffd1a98c12f401b9696defd74ed2ef2da6b7152f0e90ede7a2c52f0e
lock-exclusive	5	2	60	own-overlap	completed	700e89fc7e0c15a7c2abb81c4059bf67d60dc1d524bee5b480dfbeb89edf5aeb	34fb886ecf8c2f9ce00379e99722cac71d32c0c5f5a4b03d6100229bbc9dc295
lock-exclusive	6	2	c0	own-overlap	completed	c06c7bc9d9d2e68886b1eea1b5ff5d97a2a8d8c17797cafeec3dcc2b18a40107	0d62a7069acfe449c1fe29ad7c64d9136969a26c1216c2a66a9805d747ee394b
lock-exclusive	0	3	07	own-overlap	completed	ddc578f437df5971ef4b4163f848278fd0567155815511430740d24f859fc9f7	65f3f6c98821dcebc29ee27db3f9434916c3eb4ea547209ea020bff128a7b42e
lock-exclusive	1	3	0e	own-overlap	completed	cac6be762bf289b01f4a326702502a5816455e9777e94a7cf134bbc7b16b478f	faa5ea43466fc93eb110d81f9eea6fcf697dcb7ed0f0e246196ac46868faa983
lock-exclusive	2	3	1c	own-overlap	completed	b1870eeb1c69e5a14e8472e55a92a2b96d6ac6affd055044cf7b20e738e61a54	3d02db570ccecd6901af1c1190182ff5e3a98017eeb392bb8ff93e2291f5de5f
lock-exclusive	3	3	38	own-overlap	completed	3f0f9715ba3189b31309a67ca92e4b7bfb76a1bcd6c7531da50eec23a089ecd9	41fa49209e090983c48355e2b0b300c9b3a79d21a095068dc92671d691ae53b0
lock-exclusive	4	3	70	own-overlap	completed	dc281c10c10f5f2dcceabfc17f611c751ab4c082821e0677f683ffd7489393ed	e2459bb994ba7c3350562c465399fd9179727827608baa310de1f779d0a42059
lock-exclusive	5	3	e0	own-overlap	completed	38fbeb38062cc50bfdfdd53e24bd70e345df376865617a996a973e21473b71d6	213a3a5d4abe9c8ed77d0b4c652597ff826bcd998ae723e90fbb860189dcfed5
lock-exclusive	0	4	0f	own-overlap	completed	953ca3ce3f7e342bb1626aa73a5aa96eedb2bd1b6d51de3eaf86d2eedcdbe41a	03ce27f058ab34ca1b4728cd18b822391715a81907505f5d52eff031c29030e4
lock-exclusive	1	4	1e	own-overlap	completed	add9f789613fdc6bf55076376378fda44f7f5c8d24173b364ba8e446fa4f70ac	41a87184e457d8db3703346081463d5fa8dea7ee80fea14e20959a9269521d73
lock-exclusive	2	4	3c	own-overlap	completed	5861fb091f45a5c7e37451faebbe93b9178b2ad3df5f17a6f862d0d9efba9591	593a514c511a39ce6cd08c4bf1a492bbb181d816ad6483a20a60e1c3111c288c
lock-exclusive	3	4	78	own-overlap	completed	1fb89565b0cacfb3e0f8f01e3c693883eba231a505b4644186c485688cd76a12	d8975173548f619971681a2d210bf9b4907bf2251333b5f6a9d6a385d4bd39b4
lock-exclusive	4	4	f0	own-overlap	completed	4e892e48a3f22fcf5671c63fabba2e00bd4ea824d220e63fb6a05ae41e2eb118	18a6811efe3578cfe5ca33fb6b4babb85278f83a3faecf700bdb0978962d8c7a
lock-exclusive	0	5	1f	own-overlap	completed	82167fc804e1cfc7f006c9ea188947ee579ea12865cd32b57479fd58fe6921b4	06d5f3213843a9437cdb1860f9b475899431acd3ae11b38171ab090ef927cf71
lock-exclusive	1	5	3e	own-overlap	completed	456baf2ff446cf170b1340b80153ac5839bf3f14aeaa50f7872367552646040c	919aeed9d171810b60c67c75eef35e05f495240eba8a977bbf90f5f84c174d2f
lock-exclusive	2	5	7c	own-overlap	completed	23228407bdf56b19bfdf205ff212b60deb8309c1a7f379c6051597c9208201e7	ae5fbfb53f52a1136e09b766b15cbbf0408f8b87d68e9aa8d1b0ce4b4d5e7017
lock-exclusive	3	5	f8	own-overlap	completed	9f38dd58717bf6aafbbaee0a444debd576463fd40a972276806d4b0be86a3395	4ac635dcdea84af2f99906338616e610878a2d4231d6972eecdf4960b6aabcdc
lock-exclusive	0	6	3f	own-overlap	completed	d3f9391b4340bca8c56cee4847a2aaffc3cdb3e94ffc526dfa914ca940471012	bb479c58cb58d03212ff6f456b79c25c02ec2ccfae35066616c0ad343d1f631d
lock-exclusive	1	6	7e	own-overlap	completed	6b53bf9f7af844581b9adc0d1a8affaf6e713c57e7ba34a274aa4ccc83586db1	4e081ad335a6b3dc2690c84c7607fd10f89672845b9230b4d1461499cf5fdc36
lock-exclusive	2	6	fc	own-overlap	completed	4f0ec8755e81d821bc57be7ffa44f3cdd653e047c70f36e7cd0d19b21589b92e	a6ecb970bbf896ae17437ba069f93bb0cf527950b1650bd8a424891ee3a870c2
lock-exclusive	0	7	7f	own-overlap	completed	1ba4be44319a7b81ec6a3ff381f41be60db71a98dc11a7b9e99312ce4f91e896	63b48d229cdeac63dc2fb31479b08928b49466435f306c538a1872de5dcfbb03
lock-exclusive	1	7	fe	own-overlap	completed	e9a05a56cd3bd924fae7f81cb5b01f81e0494bf14a781cc201ad6b17f6fe0104	1a2ce9853f3d5e78f3c5620ab5b0bd11ad0839fb90c1fba3f63298e75686459b
lock-exclusive	0	8	ff	own-overlap	completed	986fd6bbe79c51913510476fc039c49f2b8317cdfe997ae08c10c9a4b43ce3f6	c6717f71090d34f5de447247d0d16397e3149d852ef5568833449d2ffa70c139
unlock-shared	0	1	01	shared-not-held	completed	e67994a3b413028d005102191e7e0f8ff70124f192a4d9d76ea037fc4da8ec18	2f44f9b5ca8cfc31adeda91ca2dbd2919be7241504eaf85dfd0c74682038b747
unlock-shared	1	1	02	shared-not-held	completed	dfd5f6e8cc26b85fc7e9312a34f275423f52938659d3ad9e0514b16a14ccf677	b74d0db5fc4f88036abe19ed9647b8ca3a667dd9a6a375378b4da2feccd1ad90
