action	first	count	mask	contention	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	sibling-exclusive-busy	completed	b8f373cd74c644190bfb9c5c9d4796b2a8ff53ebbfd1def65000ae1e3bd375f3	282fa33bf8ca155776185e7472882ce22d5c7b9a0f6b84fe7b0e63ac54820d57
lock-shared	1	1	02	sibling-exclusive-busy	completed	03af4f5838838dd1315efdba7712c6e5db8ca2bf8eccbece70bd5a9275a2d18c	34d436d38343f7b417966de7e33d1c1cceb3ef5e4faea355adc550b397ea037d
lock-shared	2	1	04	sibling-exclusive-busy	completed	b72c56f41857a40621ccd7b0804ce0fa4856c96c88c3dbcca5617ee6ed36075f	919519624bdd57caef380b93b4a8a338cdfd305c276d289e784532f4d1c948a0
lock-shared	3	1	08	sibling-exclusive-busy	completed	1cfce415973356b445a16f3a4e38e250598c95d5626795e9a83def6f18e03b6b	c83c131ba1f49f0db37f2e08a502a09ddad03fb4f367e300443df176e50d8110
lock-shared	4	1	10	sibling-exclusive-busy	completed	2b88080e00ec4f808cfa1eb2123a0ee6d5c5eeb572e4220d48edfd25b478407a	08a5819d3d9052787b0d2f201ba5a3831cd8705fe7e2e504e255c1a91ca88349
lock-shared	5	1	20	sibling-exclusive-busy	completed	3e4680f258ecc6b4206056504d4db1cd81c13760eaf43ba13eb33f09cd3ff730	dccf47b5a4cdcedaf9e6a3dbc496ae7c880de2b7f9293aa86fc2ab780b1c1b1a
lock-shared	6	1	40	sibling-exclusive-busy	completed	9d5ea136b497ad1cb545eb64778123982a3abb1849f8a946bc3b1cacea8bc118	838a57fcbe53f73e28d09e4fac48514cda4d8e9415fc50b8899b0ce147baaf89
lock-shared	7	1	80	sibling-exclusive-busy	completed	95672b24ecc5346eb2ec096bf736661465e453efd75904b7d1d06749075beaef	971349e00160e965ebe43906231053bf2e7605ba8bf9d0933fc234c59952a7ce
lock-exclusive	0	1	01	sibling-overlap-busy	completed	7a57205f8367e8eb8edee538a9dc2b12fd4ce510e5f9dccad949331de7f57ef8	a0b76448ac05b363016834e209477c7d381dca1f8b3bccb5d2d159e29ee61856
lock-exclusive	1	1	02	sibling-overlap-busy	completed	1d497791a11be69308f1ad56e4d385aa7e75a1499b1c4a2f7f2530fad34a2f60	670d1bbe50ca6e686810fb98e405bd8454d788aa5bb91f9e6238e1b46e967ab5
lock-exclusive	2	1	04	sibling-overlap-busy	completed	f1b418ec64462e30ec92f166904f74636039173ee24b0e82f9958332e7716804	7d2e100f2b4eec87ffec25227c153fa63f56af32dcffdc473f7e6576bf097846
lock-exclusive	3	1	08	sibling-overlap-busy	completed	792462c1d42efc1215bd2909f917bd3d160e76b86a9830eb9c12f6ac6bc8012c	10e745183cdd29e7c717ccda58ea978bf6d5449933838944a4ed5cabe32bc575
lock-exclusive	4	1	10	sibling-overlap-busy	completed	00709d4804bbb498393796ccdaad19dc8bcad49e767bdf3791ca17c9733bf9c4	6b7ead78403757c4cf8f686cec58df6974994261f6f78a6993d8b098ea5d80c1
lock-exclusive	5	1	20	sibling-overlap-busy	completed	37c692d5c889a76c2c67d4ee4f10f69a91eda2cd18ec08ea626d111705c78e66	cbfc05727d3df38296c62757ef0814593f1469d924fb77c4661d7e6c2daea88b
lock-exclusive	6	1	40	sibling-overlap-busy	completed	4c5d644dd19535ebf296f580afd1f4003938e8f0abe4cc21e7230df165279326	0fdd525c498740aa3a74e54b49aecc00ce90962d391f884ac36fa06226fb287b
lock-exclusive	7	1	80	sibling-overlap-busy	completed	47bba6028f2a00a6ffcf2e6df7d2c3e5f4eae89cb722ce18f21b044d1e1cc8c9	27ecaa5921bc9d89dc09c1e101d87400dcd00445b977bfb639fd4a130d569d25
lock-exclusive	0	2	03	sibling-overlap-busy	completed	aac842fc8c4be5111694264b25c121ddaf0fde5e62dee403faca564cb0bf6425	f1d7cdb44e3dc4e28e5e38743407ef2a5e2242cce31c5ade82274345a64ce887
lock-exclusive	1	2	06	sibling-overlap-busy	completed	759f3417d11c9ffabebeace3cb0a71ded0b4801df72e075880a48e563a007555	06d89f4d8d2aeb9405c81535b3a0ff23cde55c6f170f5b27056ffc1e3be44f98
lock-exclusive	2	2	0c	sibling-overlap-busy	completed	9da91f288bc61b213e9860915e3c8b866a3ba02c55da065e98bc34fe75913684	fea5561547a6cc262615cd09f7978522905436b9f008d39bc824776b4ff57c2b
lock-exclusive	3	2	18	sibling-overlap-busy	completed	47634ca4abb27860462951e83482a683e929c81f98b97e8c51ca392fb4ee2491	5e7713b83c3b663532518c43a83728adb034e2b7e0fcc3fb54991c7194ce1ec8
lock-exclusive	4	2	30	sibling-overlap-busy	completed	d1bf96652a4e4a965b4fb360cb82da31965680e439a21cf85553f7aef6767afb	befc783d56e6443dbe7033138fe2a58864b4062ea6fc867ee2d8a6744f795cc7
lock-exclusive	5	2	60	sibling-overlap-busy	completed	58e6370ed370e5683d18b423855fab51bd3b2adcefb89c307c29fdcbe9c6d21b	6ee4a574d8630fd6718cdcb6f52f305d5b36acefa34c80bb9fdec45f7f983809
lock-exclusive	6	2	c0	sibling-overlap-busy	completed	27862636a2f44e5c96524ee9980156145b9c5e9c05f4dd396a5acded3a1fe26a	fb214734faf86ef794e1a432c903c6cee3bc9a372eda4169b6ac4168cc3e7d92
