action	first	count	mask	outcome	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	native-busy	completed	99b22878502937574c634c5debe39d493eb0ca29bbe1e9d885ad9c663a2c7788	b6ee995c9274190a647875828e9b75c7f9115a604ad51e4a47c839ea98bd16a5
lock-shared	1	1	02	native-busy	completed	674a26e22f6adeb43a310e1aad44ac3dcdb732a6cc086d53f98dc813d649be3e	3a79a7df22d65d7eef00f7af48797cc6be76a276cdd4bfeee196020862d339fa
lock-shared	2	1	04	native-busy	completed	08d250d7db4e1467c6990557d722e772ac028b0a900f43209ab9796b1c80fa72	52a9d8a6735d5512b7905a44364e9b617964d0a99a0246a8c3b6afc5a40b36d1
lock-shared	3	1	08	native-busy	completed	35cf4c6d213561788d4f9c2f0b961178bdb3f47dd02448f3180d73382b355a20	7ce4616552080aed9dc9a39e121bdd088ab479fc3c4dc48ea3c37f40db4a3a0a
lock-shared	4	1	10	native-busy	completed	36c601167da6e332f9e39c00861d3cea9ab804033062a39bc80ddf4154cab195	d5664b66ba89835d6af9872cd417ac3bee08b24a268e5af146ed266fd8d5e21d
lock-shared	5	1	20	native-busy	completed	626d9bc0550a617baae292ebba2a194f9ddf26936852fc2d8db5fd5ae7a1a396	c9d89e37b49376ea8e6906620cdd0a40783a2caddb47edcf242baa652c6649f0
lock-shared	6	1	40	native-busy	completed	71b7da2ba0f887ea2287b54aa331d08bb0e7de8c68ac489b1c3362c130711cab	fece3a68a6d2798b966cfb396aa4ccc4a4a6ff51dc650f237153370aff541491
lock-shared	7	1	80	native-busy	completed	d567754435abc75701c0b21e53fe2e7aed9b98f4285c76a73f822e8c05d55a90	9d584b5637d293dc048c61f1ccbfa7fa3fcf0a18971e4ad9b6b4bf3dedff0355
lock-exclusive	0	1	01	native-busy	completed	cad5d7f030937fa6d3ca65f1c4bc47a7985bd57a61c1d91a2ed2b4422f7da3ae	10022f75b3de4b136d250ae9e3328d97a88cbc0f856ce7c69f51d4641a8f4e4b
lock-exclusive	1	1	02	native-busy	completed	ac227b94f5b7b46a4a479bb16b92bb15e85f5e47bd350b6edd31fe020dab3e9f	ed978e6675ec5c41bbabd13c68cdc0ce433b585813d8c44e48afddbde10b762c
lock-exclusive	2	1	04	native-busy	completed	4031e2bd46902b76a35ca3edc7276b27944ba301bcd76ac9fc02fb6bcce5584b	bd4a6bb0cbdd02371de2b643c93e5e98d2bb8ecf54c6f0d12c5b4a144ea660fd
lock-exclusive	3	1	08	native-busy	completed	18e20679d1b0af94250a0906ce2b2f3c9229219bd48834071d7c87a3ac4b8ad5	d29d905a7930f274679f4af6014199e53ab1b1d8fb61c4359d07db7c5855cdc4
lock-exclusive	4	1	10	native-busy	completed	3c35630f37db3565f38c50cca29aec39ff4e0c461d1691b022acb1ff62f573f8	8946a35368bc106cfdf18d38e80db3f97a6f1ec9bb675ecab24485780995ad46
lock-exclusive	5	1	20	native-busy	completed	55ab6a014ae8deb7c684068b806838b22ae8238c2dce755e5b77993656bae851	77ee8910773aa19eb9d92d88e1742b542bb9d352adca1a01714cf95b5e9b597c
lock-exclusive	6	1	40	native-busy	completed	f5ea96878ee3693ca8e89fd4f571f1040dcb7de2188e90241cf786447c6e4ce1	004f81e8d559831ffcfd65f275cb89d656313d2bcb8398f91ad4545d39ea58cb
lock-exclusive	7	1	80	native-busy	completed	6ebbac00abd0b312808219e58bc9eb646225926bb37614fa506918c5670480fb	1cedc93181ab3400cce258351cdcafcfac14f48d1e3a2355f9a82ffc3cba248b
lock-exclusive	0	2	03	native-busy	completed	bcd57d90b917b160ecca5ca03672ec693244e7d6020d76e65d004a17fefb2ec3	8c57590fb521174b4ac65f4c8a6da08cb301023e4373807b3867d8db5efe8467
lock-exclusive	1	2	06	native-busy	completed	68c75c69628344e899e360bf2926a86a88eddfb5bf6e94dd71ba0b9bd6166eee	ea7a2a516118932978c5e387eed946c75be56e8b3d68d8d082d6ae7ee410d0e0
lock-exclusive	2	2	0c	native-busy	completed	670854f12a32629eb299b2d14ec7386b395109ca72254cf079fa2fe81b5689e8	37d8044f92061da9c57b1a82e31aca037d2db0b4bf85e002b69116bfc8fd2e98
lock-exclusive	3	2	18	native-busy	completed	b6bb6074dd9be348ab7ad4398122953c1308117dc2572000fa397e4f4d52a69c	c373a5cd658943dcf669c5b037cc55093dc03a3112ca9347ee9a60912df6d78c
lock-exclusive	4	2	30	native-busy	completed	391927abff5a96a27d49f8e29b6eaa29309efe0041b345a73e393b46720ed3c9	2adce456a03a8a2673ce4a8aff04ed976a94f43c63de2ba7d7a6d05b0a323aaa
lock-exclusive	5	2	60	native-busy	completed	1c19bbe1354222638a2106f9132a69b96a079416cb7b53b0be24213c9c18d58a	86741b1c5730c8d4485534aa185e734f95ca2cdfde84d6ff65bf46fa32f904b9
lock-exclusive	6	2	c0	native-busy	completed	fb7fcc556ff415d9995a0e74f4b991bffb7d3240bb48750a7e21bf92d78b53d1	53f0573fcfc756ccc5dc73e49eb632aabcdb564a3ca3e64f213ccad5dab84bc4
lock-exclusive	0	3	07	native-busy	completed	dc7ae5f81e70bf411eee1404f71d0ed52bc5daf18467103e048de1b2400d0130	7dbc6a204401278e5ba677bd4f10ddf08e5736d0a711173088a4a4c0f6c58040
lock-exclusive	1	3	0e	native-busy	completed	c970dcb8f51b25fd50bfc57bb96345c8b81581c940b1f0092a83f23ffec21c5a	a2767cd1c5c76ff522d1166e4e8326067ca1cf73edba8c2c6eb1a822b007a362
lock-exclusive	2	3	1c	native-busy	completed	0b63fdd09de103521bf0e44b335eadbb69f48887cb8c04398d59d8981373af11	2c038dfb67215545c68b60688e65bc398b65b09eb335d9aa76397ad2c8349656
lock-exclusive	3	3	38	native-busy	completed	b9abb5bd4d00a516c934bc24f2d817350df2b80e2350af607ce08305f9d8f193	336d443bf5f8fb5ec45be31606b26b44c55a297e29f60c2d7c9507d19709b6db
lock-exclusive	4	3	70	native-busy	completed	81141c89c63f0a1cf7442d7719b3ad92881ceebea984dc211582b0a49cc37ace	c5093737587b32e982c01328ca373b94753d3bf61de260a5d3df2e9aed688456
lock-exclusive	5	3	e0	native-busy	completed	c19b2c1da13fc577c9f6c4a1a222aefcb529c25adbf4754f97ebfa33dd856d22	56b5a178e3971ef7779445f1038ed2494a0e041a420e158eefd058043037ece8
lock-exclusive	0	4	0f	native-busy	completed	24eb01d231b39d6ada9d415875d5d4fe27ad843f745646fad4a65d5f41a81731	e8b08821056532bd3084d91346ec91bc13f25e3fe969d39de98cc747f8e8141b
lock-exclusive	1	4	1e	native-busy	completed	d6548d75f5ef5a0d96856e8069a2925a41b8d6f38ecce1e61a4fb25b524f92cd	c20876d7a26f3ae9fbae77d56560f982c5f739cd8d91fdbc04281604bbc42713
lock-exclusive	2	4	3c	native-busy	completed	66c4858ea4eb1804533939b42ab4225b98969b329f8306fefc9a39b5428fbda4	c6859d0b72dad5dcf95425dfec67f5e1b13c55777503966b3fa43b034254d617
lock-exclusive	3	4	78	native-busy	completed	b7b22847220dc0fccb37cf487e5f51a1f22574b24c06842c12235c5549aff716	a744feabac93660f44053b4fe2bc9a41c31650db2384a486374270a0b58e6852
lock-exclusive	4	4	f0	native-busy	completed	005d83fff687c4b2ac26814bf29d143e70e2dfa97d52bea7ba43cf5c4667c06a	1b18e20732f86ef268565b5fc52e896fb3b7e6e0e606645295ee4f2e697aff88
lock-exclusive	0	5	1f	native-busy	completed	ad52fdc28fe5df63199a1305f913698312f5fa53b33232520d245e75730224bb	2c629b30f9910a9a39c8c70120e9f552c573f9cebe62ae03ad6dfcb0c8b28626
lock-exclusive	1	5	3e	native-busy	completed	0d2ff05f963b40c62b397bd5c1be04e7266d7e2fd0cceb02144b2985753ff10e	6d1b01f9a46e111fdef3ee9588695b510ab496dd0acde0918b29b9f6139608dc
lock-exclusive	2	5	7c	native-busy	completed	89bc4e9ca1749f0c61f865a559f5593dc65de05ef549e435bf3395da85539bf0	58bd3a71a2223ee3bcfd14b65a8f8ef40ad003df0e873b3d42f4285cb6113b2f
lock-exclusive	3	5	f8	native-busy	completed	b1158a8108930bfcbc83a346ec1f5f296dc4c71e72c6d95dde70044a4ed2f3ef	1f2097bfa8b4034bd2f2deeaee8f3c574c4198be60d40e31b682eba62a507edf
lock-exclusive	0	6	3f	native-busy	completed	88f4e4f53844ebecb0c7c5ecc22caede61ec5716abafd64145b189c2af1c4a82	1dbb0ef4cdddd1e3cf570848ba5aa094ce03998be840cff6f063baf0b070662f
lock-exclusive	1	6	7e	native-busy	completed	b2f71c0c90467732ea54f0b3978b4df2ecf8f1ab2c376d6e99cf875bb0086896	bddf91c6f9426a925771e59e97109953750ea2cdb536574c7ff9c1ef07969a10
lock-exclusive	2	6	fc	native-busy	completed	9e621c2c0a17adb73af029467f83a2c79df2c2ba7b1ceac22c07d2d7dcc41ad8	3fc7211c471040d7f6063c963591b3c0f552c3ad1432d10cec623532eac69952
lock-exclusive	0	7	7f	native-busy	completed	96c7aa0b5f4a69a6357d7ebbfcde8c04dab59245f9de8058d1e697f9e366ee78	944e0b4567bc3c5e75ed4db1d7fe4e8b9dbad5c47b2778bb36c9053bf2434ac9
lock-exclusive	1	7	fe	native-busy	completed	71c182590f9440641301f9ce019787a496e0cba8efd5660d1068967283910bcb	8142151dc12d184b919a311982f8d5862f3e3a2944e72149e7be1b1709105eac
lock-exclusive	0	8	ff	native-busy	completed	6f73b002aebad96ff4f785401561023cee0b75836556713555d7f47d1210b4fe	ce45d4e5a5b928a0b4d5e091e5315b045152005002a24616598840d91ec89df1
