action	first	count	mask	fault_site	path	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	dms-exclusive-release	created-first	succeeded	099fa419d06df01cfec2517759f65ec3d48e0aedf7de5717b4cab4e4caf3b66e	180a849b08054c679bc5b0879df739ce088a100371fbc4991594b28cd6b8a9ee
lock-shared	0	1	01	dms-exclusive-release	created-first	route-unknown-prior-quarantine	fb8d0d5eb557b96826cf928ef5bfa12d474e3ce5d7f9c917804de2ed8431469f	4ff1386f044919707c506665bfc13b4262fa361f06a4f8e4ab83feb5c185cd28
lock-shared	1	1	02	dms-exclusive-release	created-first	succeeded	fb4d2bf87bb9487ec5f29c46725e2532412417508f642055eddbd261675f81de	d9948fb951877ddcedaf2db817bc8430c50795d7932faad5e4be4faa45a42ff7
lock-shared	1	1	02	dms-exclusive-release	created-first	route-unknown-prior-quarantine	0e93a4e3c9236efc81632a8ec225e7b0390b821c0f836e0c87f4e8a1ecb34da5	a78f9c090bb6986aa94b2136bb2ca96ad8687d0fd8956e8de1dfe40530129ea3
lock-shared	2	1	04	dms-exclusive-release	created-first	succeeded	9e02124f750ff61854dcbea614b4af8f6e228c0e19a93e86c6dc003ce90c4cc5	155bc88f40b812d2ce1eb5957037bcf6f161eff158efb321a3ee6a9d445a4bb1
lock-shared	2	1	04	dms-exclusive-release	created-first	route-unknown-prior-quarantine	4582e3be47ca1895262eb5266871041fe05205ec0bd0f6134ea317583fda3991	19d232d77cd115e92dde1e1b9073fbc989dc378dca8451dec59105848e836b08
lock-shared	3	1	08	dms-exclusive-release	created-first	succeeded	28b2693cd61ea7d82e51bd2b4b374802806cd9c660507c7fa7579317cb71f92c	aac8398220570689cf001f7ea99be4392cc0cd00a93a9b1282fe32ca9ee55251
lock-shared	3	1	08	dms-exclusive-release	created-first	route-unknown-prior-quarantine	2250a0eec06469bc104ca2d19d307a6d382197936a3c2667c1482bd20303d830	277beba441b8f2dd7bd5fccd0c729d8ded0159f23850c9f85caea0b74ee6858d
lock-shared	4	1	10	dms-exclusive-release	created-first	succeeded	71049bde5be479942f0997c86b5ed0ee8f4b5aad37a65592ce06f5f53a490426	cbd3b3aebe5829e67f95ff230ffc5ce318ce2c67d48b51c178d790c1bb855992
lock-shared	4	1	10	dms-exclusive-release	created-first	route-unknown-prior-quarantine	12354dc30455dfcd7e9b69270df76d8e4a4d582e990897bf98561e3f670aaed4	5275cb2576b234510ed7562c154ea956d2067567ca4adab591af777083625ffc
