action	first	count	mask	fault_site	path	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	dms-shared-acquire	created-first	succeeded	4779226b4fb3df309d64002a7bb81911182e38561c3554d558ef2d63c702ca4f	4dd27e1186e047dab77d9d08ee7774ffdcf85f18568afc4a218d2a940a82fcab
lock-shared	0	1	01	dms-shared-acquire	created-first	route-unknown-prior-quarantine	2971a4ee3c7a6668ae7ea18a7bacb34b1b2b273c4fa1d9ed4734e0c058dfc173	60643445664da400217a6174f38b0ef39650878e9175c23e93e53d86e98b7aed
lock-shared	1	1	02	dms-shared-acquire	created-first	succeeded	af0a34a793a5ec1063c14ae9e2d2f614c4191c77f2183b7029f9abf38e72025c	5b8ed9604d7e695ba500c5b269da7b7656f77d3bb9b87f1add1fea2a0b3425cc
lock-shared	1	1	02	dms-shared-acquire	created-first	route-unknown-prior-quarantine	72ceb075f6fbf010b417f204616813528906f3e1d5169ae6b1fa90b54e72f0fb	dce194c6d60d1feecafcf159e318ecd172410779f208cd3dd012eb468b4cd46a
lock-shared	2	1	04	dms-shared-acquire	created-first	succeeded	942d2b2679ff009a0b834f83e1ee6da07f42e39235e2396b89cad3300c1a6134	ce41b6933d33335e885a940ced986f7282c1276f4a106de825eb972781ff577d
lock-shared	2	1	04	dms-shared-acquire	created-first	route-unknown-prior-quarantine	9a86e85e121786eeeb8b484523262a2ec613f2d07a2f0e0de7ba9e978447733d	9a6132dece086b418730900e51055be202b00e18ef9ae73c64184630e7327a58
lock-shared	3	1	08	dms-shared-acquire	created-first	succeeded	420c2603c8992da957ed54e00e026bd6ecae38ee20372aafedc9885f286f496e	14cf68f5169cc4c84e7bff8dd3242649a83ab10fb6eb3d7137d25125c0e6f602
lock-shared	3	1	08	dms-shared-acquire	created-first	route-unknown-prior-quarantine	74cb65e7795395f430527a2dc99df861125456721dc28f6081a6d0338b919631	3fa7ef3a95a0bd5ca4dc6aa99735641d3f7b94cc0ad2276169ee63c78cc29039
lock-shared	4	1	10	dms-shared-acquire	created-first	succeeded	a0153e41f26ab9905253b1c5bcc4b2d7d5fc63fae1a9861e85a9d2f0ef557b2b	ca3bdfc513c3fe68d178ce89aab5676ccd8015d6fcd63d0bf4cd0d9ff94e2202
lock-shared	4	1	10	dms-shared-acquire	created-first	route-unknown-prior-quarantine	4bfa9353f512d9ce1a9879946ebaba441fc4764874dd458e4c240adf5943af95	20a83f4edfea9bee41730402ce15edced0b91052df34c46f903f9f2d14aae9b3
