action	first	count	mask	fault_site	path	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	dms-exclusive-release	created-first	succeeded	bbbede55394eb55fb6d6c1e31062feb24b77952dee9985439e06e5b86633d971	5ccc96e28c2f7056a1d55faed5b58e3e78761bafc9362c7717e697bd9b22b05e
lock-shared	0	1	01	dms-exclusive-release	created-first	route-unknown-prior-quarantine	3dd0713fdd542b7da899fd3680343fbddb00997da0fc7640ec638947c34803d7	37ca9a6204f05ba6572a4ada8ffcbd272c5987155ca45045bb7d8d8e43c822d2
lock-shared	1	1	02	dms-exclusive-release	created-first	succeeded	0c5d81a58cc9020ff40a238b58b37487c9ae9e0b10d19043b7d256cbf81c4e6c	1f87223de4e2225a554d3c9a3b15eceb72ad4f4bea1f3a767968914345d23049
lock-shared	1	1	02	dms-exclusive-release	created-first	route-unknown-prior-quarantine	a3c120b2cdade55c6f90120fc5ff845dfa07901ee170814932eab6b70afcfcfb	714257fe49a5452c70531e0bb96623a6a192d029626a6dd6b353757706d78ef3
lock-shared	2	1	04	dms-exclusive-release	created-first	succeeded	f03c308ea362a85b29c8230fe31d4b3e742f7fc89fab74567db3f45bd3752029	ebd2896b1840a637bc74d85ed1cfaea73f06f025da712883fbeec5a6b06f23b0
lock-shared	2	1	04	dms-exclusive-release	created-first	route-unknown-prior-quarantine	9c173388d20dc8b3c2587a9d0972eaff090b151317c8727e9f7f9eeda147693b	4cb6153d1cf0d60bbd3741b67bb22f460274cc4ac8c7ea174e5e904ca607a0f0
lock-shared	3	1	08	dms-exclusive-release	created-first	succeeded	311e3dbba4c93a3fdb8d1c51cb890cf87b9b5c56ac8ab454bad206cf3e496836	a891d5f0df4abdcb920c7df50dc9f9b283022b29dc35f36dd8ddb5dbf15f869c
lock-shared	3	1	08	dms-exclusive-release	created-first	route-unknown-prior-quarantine	0abc0d0f11d6e285292636d2da5cdaac37d678860a0248032d3846d0fa36b9d3	be73494396d9e541319a62030b14b152c175646065498e22d62a4b8d97bd2382
lock-shared	4	1	10	dms-exclusive-release	created-first	succeeded	7ebd0b00418ec6d124602757ffd1ffcc0f2d8eb905af4f12f64f9a781b8cae25	cfc4058832815fa2c2beefa41147dba05fb0c88504c8965a9d915b8a220910a1
lock-shared	4	1	10	dms-exclusive-release	created-first	route-unknown-prior-quarantine	63528f6d7f96eda289869402125ed91565cc98fa7fcfb456fdd53c96d8acadaa	c3c2ff8a5c3745df28b0962994102f94bc7ef431ad3e9de03dc099fc25f8d330
lock-shared	5	1	20	dms-exclusive-release	created-first	succeeded	7c286fbab8b80376143f6b33c8b066e5144749dcc4184bcf64527c557d6513b8	fb514495b39aa4e3fb09f499edd9a30c2cc02853c326b5b25dfe4186fa16654a
