action	first	count	mask	fault_site	path	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	dms-truncate	created-first	succeeded	f11c9160d2eaf880c34528039809dbff3fb5fcd2b8cfcf6cfe84c85a1cddab08	f8747c000cf4d26884cde5181039b406f659c4634939c6623863705f310b8fcf
lock-shared	0	1	01	dms-truncate	created-first	route-unknown-prior-quarantine	8c8f4de83a9c45ec972063c13b404b5d0afc9126c52a8f0e01500f1f87ab839e	1066cba61f964308f898da81c5371b8102770f0e69bd5556327f68277fcb1820
lock-shared	1	1	02	dms-truncate	created-first	succeeded	5da1cd9ccfb0e44e42d1795fb69822afb795d51fe12291ea28db032087da6069	b308a6c5d3d97f8c4ebc19a32e7ebc39df97e2644806cad0b6ded4aa0597b6fd
lock-shared	1	1	02	dms-truncate	created-first	route-unknown-prior-quarantine	f04b7aa2feceb23aa39b317f4bbae2bb1e7c130ac4b0c309f61898841568cbdd	2646603742bf51575bed51d9d6586086c86d9cbce88ac628eea003a347178e7b
lock-shared	2	1	04	dms-truncate	created-first	succeeded	ea3921d5ddf2b4b10e6de372265d41558210562da54b1a87a8f60a66a9d8b433	24a98c67296bc0e85177e315b88a1b990174389fb042fa926f6c5253e328ea11
lock-shared	2	1	04	dms-truncate	created-first	route-unknown-prior-quarantine	99c3311e669f5e9ea1a46c218e7797532d5cbcbbe3fb5324c273cbc445dd574f	a51e18d0e3750b48cf90bc140b7316d366934b91ebe3fcd2366eaf9b5a7ffd99
lock-shared	3	1	08	dms-truncate	created-first	succeeded	b9dc2936d144a45575be6193ecd78a7710d5b9c065bc7af136c7d3f094f7f0b7	0f5d7e4577193ebf000b2958e43d89edd190c59e3af0c432a3958869f4b20354
lock-shared	3	1	08	dms-truncate	created-first	route-unknown-prior-quarantine	3380c04eb4f2a65f09b4d0e1668f615b91a2dc982985beaa81cae196a506c03a	bd4090c3ba869c7894873e8f3b2f5c0afa1c26794daecf47ed4bd5185738a97a
lock-shared	4	1	10	dms-truncate	created-first	succeeded	168b7f90f376b65eb3d986ab97bdb4078db71fbd3518ca12892aab2261e25d4a	dbb16adebdbbb5b50c9b6c15454b582a3ea6e975b97ce5044d9e352d73b10c07
lock-shared	4	1	10	dms-truncate	created-first	route-unknown-prior-quarantine	d03732fda8a7e641d49c6734159912b2fc3486fec92389b56d4bbdb4793bd00d	5f8db2a1f4deb7343bce249a261ac2907dface32db7e176f2cc7e25f91433ec4
lock-shared	5	1	20	dms-truncate	created-first	succeeded	4e3c0d837e1df9cd100226e15faba6529d5ccee27f39cde92e6ddc5c97043003	f5e0bec0e2a51e48061f387dbcd05419fd09f6c5e49cdb0788e9bd48ac520b78
lock-shared	5	1	20	dms-truncate	created-first	route-unknown-prior-quarantine	a4517b871276ee66f05b9b7cb992e752a6ad4945be24bd3996465222375987c5	0e60725e07c0167c039bf86e4b3b31e292cba601e10b2b55a51fddd85fcb5ac3
lock-shared	6	1	40	dms-truncate	created-first	succeeded	c6e1bb93e1bc5a87ad4c671c7b7d2ce37967c5ab25040e1882166d9b0783c4bf	597ad52aa93ca913a01193e1ffb35368ef10afbee8399682b082a7041087c5a4
lock-shared	6	1	40	dms-truncate	created-first	route-unknown-prior-quarantine	6d8b38d25c54ae9414f3562e73eb6b9545a5aeef49018675d32f188d518f1b97	6f45b9997952bce43bec941b419587fbb6f3baf18b483792f9d7473ba02009f3
lock-shared	7	1	80	dms-truncate	created-first	succeeded	189434251016b0d7ba70b2ebadb1842aefc4c34137dc14279d3d6e7502769c7e	210c4c128c45488f5bd8ab676553bbd9371d87cc3bb8f419f8a189ed62ab2e73
lock-shared	7	1	80	dms-truncate	created-first	route-unknown-prior-quarantine	e0054b8fcf52543d29d9127372202e7fc7be1ce187fab77e83dbe988584e49b0	6448fd3a64ab65077e114132c40c62ba54c3801a1efb81a3fb3bd1926d36b62a
lock-exclusive	0	1	01	dms-truncate	created-first	succeeded	978ee9c82a8a6cf2ff3bb5768e3dc050d82dbd7aec6f1d2233f6cd4c86f1f298	d5ea7b416595520c8ffadaf3a43992b7a3ef8b3d4514013e02a549e65ef61440
lock-exclusive	0	1	01	dms-truncate	created-first	route-unknown-prior-quarantine	8ac7d4fcbd4aa1b7e1b944cd57aeffe068b92fe11bc6078b780279e39265ff6b	02bc9d522ec225c21b954ef9ced273149bbb0e8b1281daa6a673e10fa3820b9a
lock-exclusive	1	1	02	dms-truncate	created-first	succeeded	d3313368f86366a4b8a6e15c8c9db0a0e2600908b7b5bb29e85aaf483d4b92dd	f7d6cbabb16629bb636c1835a1761a7f2ad370e2235a37b811a1397f12528ccb
lock-exclusive	1	1	02	dms-truncate	created-first	route-unknown-prior-quarantine	820f1c3f85a62fd3ef990e6f0753a64d9a9b842a735c0994e0ebe6d42c4fbfbf	c052fce27cb04a969626b4f41ffa0228293a7c29a71cbf97cc523d30907ece34
lock-exclusive	2	1	04	dms-truncate	created-first	succeeded	6c4b2355970378465025a1c37c2c5c514f4b1e3119912591b06bd66ee9053f1d	a4ef4a47439d0c303a263627cb573e6898b23aae8455bf50dc715b729cc168d6
lock-exclusive	2	1	04	dms-truncate	created-first	route-unknown-prior-quarantine	d9c0b5a3c793cb8989a66303d02d850b25fa6cba567f6daf526c4a7a08d23c2c	821a7aa2c34e4583e1c0d96942a30e9341306f9ad6162fa27546fe33c13d5b80
