action	first	count	mask	fault_site	path	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	dms-exclusive-release	existing-first	succeeded	7a93def672418977749c7926b51f6e6b9bf32e00071a3f0958fc5f7a6bd11174	cf51bf515c9ecccddc864e97d5dd11f3e110ca9468fa91c0ca084925079d9b8f
lock-shared	0	1	01	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	950edbd3233ef32bd5a64cec414da96af48016520cc49f112f54bdf67246b81d	3f6536d5d6e68d0aaeadfd038f9985682f7ba72866fbdef904d1ce0c391f05c3
lock-shared	1	1	02	dms-exclusive-release	existing-first	succeeded	2d3c5c9529bd7e6a7bc5b247b17a445154072946036213ef2b17210dd12268f8	23c659be70bb10a03801a06bcc816c2dd57ec0751c2efdd96d59badb29b7a11d
lock-shared	1	1	02	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	da7455f1a8f06716d0b2fbbb03acb4ee83a9974b2ec209d25037881a325ebb95	1a7bb63f22dc44f4d7af3d240b7918bdd5beecfdcbe80a904b0227cf524974ed
lock-shared	2	1	04	dms-exclusive-release	existing-first	succeeded	f8c20c7ad216e5da2f212c21f1948affc676572d925d988cf97e9ad5362d1908	091e141f3d417e4fec9047fb7fd3d41b3e4ed23c68217065e62e5475ea515910
lock-shared	2	1	04	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	77c0dacdc2f8ac2405c9fca537f0fbb7bf4911caaafe516a51b13ffd885ea462	fb2d6fa5efd8544edc538a4cdb97e6f5cde5d415b55be4a54224fb610e92a4f2
lock-shared	3	1	08	dms-exclusive-release	existing-first	succeeded	54828fb98ac8ed2994c429ed2faef7be50c15156b995f933aa3a4e15e0825e06	90ba3f15073dc69c11fc2ff1851af0cd854d4fa97ad2c89e3d6aecd5230a23f0
lock-shared	3	1	08	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	476efe204d0828ea8291ba867afd8f8cb783cb9ea60a70f15a0fe0dd9d040970	45a408df7916ac1e1aeddbc9d9ac4d1219e9f9b9e9989330aa834ed3a6bede48
lock-shared	4	1	10	dms-exclusive-release	existing-first	succeeded	3d283b0ef47763f02664983ee8f2fa831292ecdaa5a66913dbac0dbde21f9723	fb1603e03c2993f0b6753566ae8d7a2cb429f76c54bd268dcc66cfe5c26c0e77
lock-shared	4	1	10	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	1cfc3028e54868cbbfca2416c24b67e6224644735aaa23d58f3b5384caff2b8a	e35767ffba4a7fd8a17c44ded932627b0b21aa06e1203e8c5ffbeb1015e45f4b
lock-shared	5	1	20	dms-exclusive-release	existing-first	succeeded	bcd883520715ba7823ce81ef83d54dc58367bb86b5f2a4b32a92c3048e3804c4	87a426960966bbf92f2984c670bea5a418f4e0038291b9a07430e1814a183ced
