action	first	count	mask	fault_site	path	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	dms-shared-acquire	existing-first	succeeded	e68b1d60f585d75b1f8d87557e959e12a866064cde129933419675e294f5d38e	99701cfa3345f7a21eba61b668922d607d11293814cb1b5825809521380a46c7
lock-shared	0	1	01	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	69dc1712816b271275676f2c67e006d702384997e5447367342ac45e0d8b9dac	c86ca860665e2b5959280ed471af0939f21ab2f1701d4cf74f750e5177051a04
lock-shared	1	1	02	dms-shared-acquire	existing-first	succeeded	aff69d583eb57f52ba992f218d3141ce88657f23fa76d4cbe0283d16ff82109f	ed81e2ccb5506e8e83a921b1e6d2e5458679be982c9497a22ad0fbb1316d6ceb
lock-shared	1	1	02	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	e789e7204585b9fd0850221df77ef656c3a37209df500c539a05077f8899db3f	07e421c8570fe0e27486917154392b1088fd61ce8ad1689e03dfc8ba35547993
lock-shared	2	1	04	dms-shared-acquire	existing-first	succeeded	fad895ca57e1f2aeec890328466802d958cd6b191eace376a85828729254b683	79925d3eba4f2133e60fa8e38d399fa701a52a4bf9c54fa61893ba59fa4f6fc8
lock-shared	2	1	04	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	bf24f6e1b932775a42611f58c241898222a980b31a67454e1dfc06a4b4717e91	69a246e6e008960b332535950617f16db68fa52891357e19ed6df9370b796342
lock-shared	3	1	08	dms-shared-acquire	existing-first	succeeded	0eeb4410fd6049af033fb9f42eb46d30ca88f7dda9bd92cac854a4d2581e4469	ed1bdd11386bc24d95516371ac6db4c581cb51722923bf35f699e853630462fb
lock-shared	3	1	08	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	e83438061bfce28c5c1d6ffa913263bedcb87b998584607399fcae5af6f2725b	281e9c594a13019176be515b6f3dcda246b31419b124e2910e2db518d3feb1ac
lock-shared	4	1	10	dms-shared-acquire	existing-first	succeeded	586e78594603db92bed9b2c579f758d1876afce9564c6e8ff1ca19952dc6ae99	25e9bf9ee9940958df2fb2d352541d7a515c6c8c855adb365cb5a800f2f0cea2
lock-shared	4	1	10	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	3b8b1097a920d7161011ae961c14a386aa0b718044de9f7968602ed4d1763026	f6634bb2c9aab8d3fddd46be035dd358fdac77f7b9998b1c6f0cbe1427336454
lock-shared	5	1	20	dms-shared-acquire	existing-first	succeeded	9ca0f5ce58a28f7209dd09bd93e6a336fb8b4cbdcefed4452b88d3959d66c5dd	b5ef18a03d6f3ed7a2d536e22d5390bc2f9a4a15a492a07d926f985f09d821d7
lock-shared	5	1	20	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	f73304705832fffe91f3a98412c403685dbe3b2b74e9b9142620590cea908347	11c6d7e5d2672c60bda288b47b858cf306a80bd77df5ac33366e5e3c3c2db393
lock-shared	6	1	40	dms-shared-acquire	existing-first	succeeded	35fd663e11e31cfaa77add251e1fe96fbe9ec10c38af5e3a2abf7e9c409826dc	a55db1e6a195b48eb7bbd29e6d5b9e1f3f96e084edf4d2f43a19e4b4208dd2a5
lock-shared	6	1	40	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	c866bb0b5714b72ff42ebadceffc1db3497cde9de1cbd8d4cdc9df0c5e835256	f94a6bec23ffcb730e713b101ccab82f06f605fd20a99a56ae30a6727744edac
lock-shared	7	1	80	dms-shared-acquire	existing-first	succeeded	4a2fd2ca70e9bb9603ce8e1ce26cfca1776fe10154c54061d8b732189cfca735	a660c38d3ce168710880d29d97937eadb08ce0de19b0b7090c2d165c1d5efdaa
lock-shared	7	1	80	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	6759ce790d142ddd08bdde5a5d699ff5e4f938c0f5b5c1d4b4bdfc8743aed3b6	bd508b6ddeaa1533699fe2870f63b2466196404841e348b1e653d9bc96ccdb31
lock-exclusive	0	1	01	dms-shared-acquire	existing-first	succeeded	2199ac800d4ceabfe3a9953f941ff7e320004da05a9d3cc6e0c4838671ef38c5	7fa64123baf079d115f4a9d6bb88abf2b72dd3a049bc751e64d7e4a3fab2f8ef
lock-exclusive	0	1	01	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	fb5ac4c36eba780a80fd070c2ccd3c0f4d8847db41178664fcdc9dde3bf4dbae	6a905aa27360a95e7a9af668fcabb82f222020b124dd020c4000b44a11141626
lock-exclusive	1	1	02	dms-shared-acquire	existing-first	succeeded	fdf484838d9ab635fbc6a62fe4f822fcceb97f6b31c90198dcce33d944fb1647	24cdaf5484ef933979745746c64c3171287d2a6ce321d9ce29d59c19ef7fd1cb
lock-exclusive	1	1	02	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	0d69c3158054b961f7b430aa6e7d1d4228d6469e592b3c51833f784a2388ff3f	58aa2301eeaa28bb911cdd7f79b5c2e3fdfe2b9e7ab0d60473c8ac023b79438e
lock-exclusive	2	1	04	dms-shared-acquire	existing-first	succeeded	c68a623bd175a6df40ee764d178a349951b34d58f976209284b35734e3c81b7c	442785a60eace9b87044007eab61112993f4ad61d9024b75219f960c1a99ff66
lock-exclusive	2	1	04	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	ed697cbb3a63606ddf608066fe1ebf4509cf1cdeb3c610fda8e8ab3325362470	b00f4c1a9a1cb36c7e0d93429bbeb6cc1fa3af40d296811cae3640e6490043ef
lock-exclusive	3	1	08	dms-shared-acquire	existing-first	succeeded	15da1ac87a4e1a16533572f3bab4fc6f42df8181a3ecba0d285949c984e73ba9	05329bde2eb62cc07dbe29004eb0e15062393614f23b8746972a5648d954d5cc
lock-exclusive	3	1	08	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	99d5a8afe237c2259f756fb346305e60697ce16a400613cd54551d20619fb896	394ccaa146302274ea0063bc2dbc0d9db60ff039f9ad29d0adf11d3dffe1248b
lock-exclusive	4	1	10	dms-shared-acquire	existing-first	succeeded	945d779a8f258b42839aa054ff13ffa8cfb4bd6e0b325a1abe485b62aa5a157a	bdb9b68266eb28bd3d75073fa7ea4a0e98f4e7334950c67886aef95303427825
lock-exclusive	4	1	10	dms-shared-acquire	existing-first	route-unknown-prior-quarantine	ffb727bec8ad1cc86a806fc157deec8c10cf92f735a3571ce760d5566b3313e3	b3404a27856d80b96a252e590b052ef182311441891094465e4f8784c6675070
