action	first	count	mask	fault_site	path	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	dms-exclusive-release	existing-first	succeeded	acac9a8fcc92176d0529e7a50a9317983ed83b09104feee5944393a7949cac3f	655f44d3b114a60fa3ccbad875e0f8de298ba4b968b79c1e39b4793acef068d7
lock-shared	0	1	01	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	58b804d72b0291a3eaca861429760ac8bb3685a58a2cbb752a6c867b2e8d7074	e870b06d41f28131b396a068b91f007aace7cf566e4695b124999c6639787e5f
lock-shared	1	1	02	dms-exclusive-release	existing-first	succeeded	0f75244807d31b2ba457fa1f5f5b688f11b96f049b7aad1acab2b8dd49022091	0128de7fbb0d3b9a1e1660124bca47481e4a6a7f518b2ba63d732d2b9f74f79b
lock-shared	1	1	02	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	e504316491527709b43b93f8309f13f0deddda3f528aa3c70c64a0fc7f13efea	48de7f8e89be9b763842bc511368790b69ed37b0c44b291a5e04dc5021a35c48
lock-shared	2	1	04	dms-exclusive-release	existing-first	succeeded	77c49f52b63189ebceaec264e7b5c6452b001545fcdf1ab0d660eaa6ac0a22de	08922264d5e5093852f6bbb34beca92c4a564cfe197149e31c0a90de6833bfed
lock-shared	2	1	04	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	bb32d27689f2858bc550e7c9a2c6d48477e9d513eadc5435f1791a90ba776ae5	ed400b0bfa27131bdb0413bf6f98349988a4b342fcc9f222d37b539415f9773e
lock-shared	3	1	08	dms-exclusive-release	existing-first	succeeded	62ded9c6866ca0e15105712061a04f3e92f645a41f81161b048e785c1a8214e2	95202b81590b248a8417b6185ef0c80b0851e3f2bfa4bfd610607605fafab1f0
lock-shared	3	1	08	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	4232d0ad81834175318da6a0590363f964b82d224c3729a3ac87a2758aa67405	a2a884bf11e4ddea481930e49ebc8d99546a58bdb5e6baeda571c5c50be920de
lock-shared	4	1	10	dms-exclusive-release	existing-first	succeeded	6513885bd986091604c8e1edba1286783ccc5854d32f02ad5be774d5ae1e8d40	c2e71bd819c93814553eb6466b981efc1a36632b7d9af3c25123161b5594a1a5
lock-shared	4	1	10	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	2602690502f18d6128095de1e308406bf17316b4c1c16cae932993623ab9cca7	a47b60c10d22151f25287c04bc8e139321c498f0a240220db3ee17947d57781e
lock-shared	5	1	20	dms-exclusive-release	existing-first	succeeded	3e98e581e698ccf1ecd39ddb15604996cfdbf5b50a5844e781eb20316e7ed085	8634865a6b178bae2dc7fde2995b3d03518f55cedd6c3438229fd5197c2dafe4
lock-shared	5	1	20	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	3d1b9588f633b817f5782216cd29a24a8ae3d2841758efc0dc3663782059eeb6	f61b1473cb2e63efd9ef3389e7e972c309dfea12113105154f15861ea7a57d23
lock-shared	6	1	40	dms-exclusive-release	existing-first	succeeded	492d4b7456af0393f67a3c4b8159830047aa7dc13ad0f85b6bf7db85417bff33	9bcf6a52245ea13f7c9a58ca437669a5cd8e9bc8bb9e702a6daa713869c3bde5
lock-shared	6	1	40	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	d76d51ad1ae27a150149f95e042c7475427fcfef87c45b581eaeb50008488a0c	3cf51b466f8bdc907314581e1769c866502921b9d8449c3bbbcf4e8ddafd12f7
lock-shared	7	1	80	dms-exclusive-release	existing-first	succeeded	241d43bc7a728a1b1ed9698d4ce02c41d0c6794c9039f9616f8e89be73abf270	00a204f5519d40ebddf939f24f50e89b42de6170b1fb9c89a7887b21e92749c8
lock-shared	7	1	80	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	096ebfeadb50b1a8e882d2cbdd3829d12ec8fbf41f30e141b063da9a4f241e1d	8612814d615c871b5bedfe74fe956ba777a3d35dfb444376d4426f352532b4d8
lock-exclusive	0	1	01	dms-exclusive-release	existing-first	succeeded	07b09a4aad0c2c47f305573d7a2229893236cd91668cc7c7159eb7918607df4c	e2d3d9033a649b30bfdaaab38c83cce28c81281c5a98174afa57fe5f72662763
lock-exclusive	0	1	01	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	afb0f870f412c18aeb721cf435a1d8c86c855b2f88ffd279ac3adf941d24a786	f2abedae1ae34bb7b379a758ec5ad3cf56821edbdd9af8e97fb7726554fe0db3
lock-exclusive	1	1	02	dms-exclusive-release	existing-first	succeeded	446106d3bf27b2549bb7555efe97c58cf97eef7c71dcb194b67ea4f142ac6e5d	31de769d2b88631523bbe994eef1100fc4cb7ab44730f670a9b292bc6c70b237
lock-exclusive	1	1	02	dms-exclusive-release	existing-first	route-unknown-prior-quarantine	aa029ab8d114bbd9de4ae5f8a8be3c85a54a64ad13e7a7605edb3df4c66a23c7	947b36871521b326468c5cd8a8b50d5160ef8044b86fa3b5270b191859ead9f8
lock-exclusive	2	1	04	dms-exclusive-release	existing-first	succeeded	79191ba2928b45451606199c1b07f36eea91aa5feba1d9ed09bf02834d253a85	54243c758c1c32a9754adcd098d0bdd17346fb3d67e462ca9145a0421f8e8edd
