action	first	count	mask	fault_site	path	completion	case_key_sha256	full_record_sha256
lock-shared	0	1	01	dms-truncate	existing-first	succeeded	aa6059f08670548a52ec7e7eeceacdb2ec13240d83b8eae0545a30d1c1ed4fdc	294edc83e07d312ce6ddf2c6bb31d2284db7e0e48ea16a1b59ed132ef0096cdc
lock-shared	0	1	01	dms-truncate	existing-first	route-unknown-prior-quarantine	dcfaee2cfb31d43a721973acf066797944c1edd8d9f312a7589dad12fb0aaaad	b24cf2b867f1f8bab8574d74294a976dda965116aa3ed4a611125ae6ded39849
lock-shared	1	1	02	dms-truncate	existing-first	succeeded	6b88c0301481a538ed9d55ba441f6663f630fb1c7d825aac7cebef2ef67563b6	f8db0b79ce5213a7a3e912c5a6b8f172d2370eeb3abbcbb9df7507444ea1c442
lock-shared	1	1	02	dms-truncate	existing-first	route-unknown-prior-quarantine	643649a9d2c5ac1e51d4e38b65f9f3fa96e5c5f5164ddd33fcfa6a70785b92b1	7f0e6257d0792887a72582599a48bdfcc2656b18c2a141d93887b1dc41c2111d
lock-shared	2	1	04	dms-truncate	existing-first	succeeded	899b0ee5e88912857a9638fd14c8e08fa2ad9f7c490e227ae660fc83f4d263f4	651bf5be22a4f97a2309ca2db853e7069ff5ba2f52ddb091a1749c4d6f38bb3e
lock-shared	2	1	04	dms-truncate	existing-first	route-unknown-prior-quarantine	8fa73e032a9553ea12280478da96865c43da663dce37da735579c8a39a941362	83521b47b81ac8a044ef0a4a1ad24facc919dcaf93e0ec10aa6f0f400581fb9c
lock-shared	3	1	08	dms-truncate	existing-first	succeeded	0a41e7a06942cf2574d3d41359ebde8cbf1f91e4371260d988c5f9baeee8864c	25eb2a393da0c112883e8935af686bc8302f0a4991012ca92b775b6dae7eb3fd
lock-shared	3	1	08	dms-truncate	existing-first	route-unknown-prior-quarantine	eb1d064bd20526a20042b911e57f8d3f47a9c897aad99675f607d119a90b2498	c4b8c0083f9aa4212aa75d8b917b51aabb814c643986ec73451f73af651ee7db
lock-shared	4	1	10	dms-truncate	existing-first	succeeded	def3caf6b942d913ffbd1a4872615ffa08141a2aebf7b294176ffa07866d497b	765b6278a00f0fb1a9d3d03473ccb0d5efe2b73911c4ba75f58c258e99163cb2
lock-shared	4	1	10	dms-truncate	existing-first	route-unknown-prior-quarantine	e5512f81ad8cf461c38bff1453df8ba1e881b061192ff85a9aa1cc332e661325	c91022d2dde538804b00b87ea9053019eef6be95e0ef223c0a7569a61b17d8f6
lock-shared	5	1	20	dms-truncate	existing-first	succeeded	fa9f69ebf692b97a6c45387f843ed85d0b9a77945e7a2f78d6e28c3fa8b4fba2	21faeb2d4d7b73239b39623207ce7cfa4bc7a06f9e6936995fab9998922e3b6e
lock-shared	5	1	20	dms-truncate	existing-first	route-unknown-prior-quarantine	19bd4011760c33535373d8385fac6842dd4bd2892843394d2ee39495f6e6654a	82e9273ca2785f3588c8dbfc457d42aec00323e4420ef35534388172c7fed8f8
lock-shared	6	1	40	dms-truncate	existing-first	succeeded	4af026fae892045f8e427b44e8821cf9ec17e851fa6e761be8e2479051308717	0aad377429f488eb9b1f2ffddeff56d6a0916154cb460da7d660a8363b990195
lock-shared	6	1	40	dms-truncate	existing-first	route-unknown-prior-quarantine	475a7b4077fec5999abf2e537374a15e84958ed0c00612ff655fd82167a2c6b6	4d0b801d359180e29832690f6c01045b12150ff84a76fa034ac1395602f5507b
lock-shared	7	1	80	dms-truncate	existing-first	succeeded	d65729ea35d41b85fbcf7eb522f56774ecd0a7aeff58a76e3aa4bc4aa1d6f252	1b764ec5ffc2b9d6a8ee42eb7f3e1c3327d64c8ebf8a95b4bd2a1f233ab546ac
lock-shared	7	1	80	dms-truncate	existing-first	route-unknown-prior-quarantine	71ae1ee81d16940b6c8e0e54e53aba12eec07f89838ad130460c16034820bcd4	96f41ce257ad54092ae52d128086e629a3691f7db51d60eefd0adaa4daf17f71
lock-exclusive	0	1	01	dms-truncate	existing-first	succeeded	6bc66d22af44684d9cbca4d76915da7b40f7f2224481d6f65ab1644db25d4729	8e02f7c45db389d59cf25fc089560ac498452c940145ec15dfd79e3c7606ef57
