action	first	count	mask	case_key_sha256	full_record_sha256
lock-shared	0	1	01	882e36958cc583ce7fe4dabc4c62fcf0b39c409049bd715a47721b521311f991	9d8648e68e17a8a4166c0895e917efdf5e6e8a21dfa86a72ce55e6144791a915
lock-shared	1	1	02	5334a917bacbcb941269b4b8c2063ccd1aa99b66988b0d67957fb55bc0569889	ecca575590f001a029f7854ead95a0adc43e1bb1db4af400f235e3728cb42d19
lock-shared	2	1	04	eb22ba696ea76fc52293fb0bcaf520083a7b7bbfbd2631a1cae7e56ddad5827d	39da71d5d7947ece8e50e4d3810f46c39f90295a29cc5b517dec5ae7bb4cd39e
lock-shared	3	1	08	22a99ff47d4e9ec3a2c36c7c04f0083bb44f48ee297745c9a0df19e3b1a97ae3	fec88babe8cd34504cc7c50fd3cb496a8c285eb30647acee84cc17e4b896aa14
lock-shared	4	1	10	e25abdefc488d6fa57e83255612677463e4a6304f36ad9d29bfc96705b5d1985	61a8c121c67f7356cc069d1416409c5f3564bdfd5696c2d7252d2e46e24fbb70
lock-shared	5	1	20	ebefc57cada0d14add851c5f14648dfdcc37ee17839468db8ca3c70128f8b461	4888ded191e6c6167953fd9a7d165dce2a59cec52ec67d8ff439a3b309d8c9e2
lock-shared	6	1	40	625b305dc29f6077ef2880e5b8c783377675415a74d4b5501099362953188a99	7acb7bc8576eced5ad0092d00f62c6402a04ccf09d09dfd60243811ffa8719d2
lock-shared	7	1	80	452ccf87694f38776d01081f7705048f8c0707bac014cf3a54657dad33e3f252	9f80249a34632bfd28158d9e0cab8ca22a554a25959a9d957e5857be2b9ee2bd
lock-exclusive	0	1	01	f77b7b9f3920f3f42102f14c82ab05d89e4baa58ab0b1f4ebb519f42ffe8ac9b	e5635dd4373b8a682b4aaf5da05b5ef4f7529bd959b361b0440fa1d63e24d3bc
lock-exclusive	1	1	02	832eb6d58c282c87bb86c996d211f9daa5828436048ef87de7f943e047236f19	b8be403cac8abb22d3e2e4cb1470d8190c3379799b86a3fd011f65522e6957dd
lock-exclusive	2	1	04	d40d701c7849bad7e50b20886da8bbfcb2f18af89fabc1687e5ad1a5ce796f3f	6c4fc4e3052062c3747d41536e1fc99765dc97501793db1ec5a948bac535e27d
lock-exclusive	3	1	08	15f03ab5b5b1da5f42b9403878c5c5745acd726a0fa4818114f26ddb246e76a9	f7585692fbd00ab88902b2bb1fa1addd19bec3edf45e894954eba799f7fbad63
lock-exclusive	4	1	10	87c8bdf066ca63bf34a49df367a87f066cc7e9e9bb04c093ee2c365717e274f0	80dfa0a020c78a10c40175ef235d25ee8446dd3b61b1a17f4448c48cc156cef0
lock-exclusive	5	1	20	48772527818b6377d6d1dafe2d3fd47136621ccfe487e4012a1b25046d8b7df1	93e2444f31cd3f155098782d4f8b9b1aa534ebdfc68e36047b33b5dcb9550b09
lock-exclusive	6	1	40	e664f3969d9571cc22a7a95bd5d57f1335e6ea3d64bb68cf24defcaeaf32ac18	4b124ec549c4764a2a2ec382e08acaf53404d3f118d5e1ba4b322c8c87de2e6c
lock-exclusive	7	1	80	e0143a13fa40e7afebde6adffbd9563b44cb7e0d64a40884ba16bd2972ede295	748756e9bf044e4ae9787033d9f91688f6547c0298e5b05375d118049330f616
lock-exclusive	0	2	03	e85836c85b6ba6caeb4ec453b9ea492afe61f0a9eb837ae371b91ae366e116b7	27defecf94677c9dd41b2737eeb43951c262b8508d120420e02c14428d87b109
lock-exclusive	1	2	06	0070d7079c997f8af54e2587d165d95ef90d7c24dd012a51c7140f3d8f20be8e	66608e85e271ce4830f4f9a51917c5fc9785ea9e045b71fe729a0cdc28cf633e
lock-exclusive	2	2	0c	b8d28a88d99068b4a3629b8cfd4dcf8ca2eeeff737143d3b48565027033f7547	370703bc8e8fcfb0cc4638fdef8f0b445a4eb6955887a7dfb66fdd507ab2e744
lock-exclusive	3	2	18	e75dc33fe872f5a2c1dea66fbcca9cb2831897c38ed2aa6ad1f526f10a50d5c0	c3ef0c36f265d7e265b7f4ad8559137ee488af32951ce0383b446ff4a9480662
lock-exclusive	4	2	30	ad28cd120f0146a35668f02e5564e83ef577675dfab0dfe5b37f2ba8ddedee23	151e0d350867c256694d04607d62597c9f10d8b10b7980a226e6462c8610f9d2
lock-exclusive	5	2	60	4a3cae579acbcd5a63c4e1dee7ea147cf01650635f666c3472edcd2c560a5eaa	2df66bac55c0e0d8d408f3b5da1c8e2f41440241de94c64dc42a2301b4dc586d
lock-exclusive	6	2	c0	92dd097110fba19092e7d0f9471281eb2e2203d6713a28a45fcda393eb38abe1	28a2a60a6fe2fd0646214be156ea88141c0bfc038c08befde37e4034789cd8ad
