action	first	count	mask	case_key_sha256	full_record_sha256
lock-shared	0	1	01	14fb2f0a188abd929a07df618d390c3a11c0c394687e6e7745295dce3c1f4534	85f3156359190620b3905d994d9b6f3e3c6a065c422e9a3c258005719c81099b
lock-shared	1	1	02	40ecb5b049ceba4c01f3d9ac47f848f4e08a3400c3d347a48e1a84665dc1520d	dfff5a3b597ccfce6ce93336eba7d60198e53674109953ba611c64121da00e1c
lock-shared	2	1	04	d842eb70e843b75d98949ebdc96e125ea5ce375fa58f2e563574e7ba8b9fa18d	2877b4227c2745cdff176c36e4a067b1da85591d244201ec399fe6e5459f6d60
lock-shared	3	1	08	cc1df5856390ddc22d2ddb40888873d4d3b17a56be6f0c42e0f5a288941b5464	72c813e0841bd991f3da01fb51df986711dae594f23ff2ec1ed3f623ac1fa1ed
lock-shared	4	1	10	143b2c03360312d70df2f5e6e34f48a0403cf327ac989ba88c90251da35e50d1	dd51a7cb23d72abab1ca02ffbf18f17675f84e2b8770f48b9fbb44c24b2bb3f4
lock-shared	5	1	20	9527fc4d6a9d9ad0676880df0ede5585ca2909dfc6358eabe5d69d243b1a4118	00bfe35b77b6fe37ea412eacbac34a4c630827b8b7cd4b888b60cb6f2834adae
lock-shared	6	1	40	ec37204aef1e6acd37ab11d92987d03ad2e1c6dd3bbb421676a498493fff9726	b8654885e35ca3e6d159ce7ff8187962dc3e163a92ab0276ff31bc673acd99df
lock-shared	7	1	80	af30d9e3450f3d8108d9bf8076dc728e73588644c7cca0654193fe520c36caca	3411907e690ab8b0754a22b143c33dea54a82bc47589f3ff5502fbcc84831eb8
lock-exclusive	0	1	01	ed23143996748644b45f6ad7799a699a82ce44c22f1298760981748e76fd7e7c	2d2b6167eb9dd33b8c347f65c28e0439b9ca289c03659ff65e49370b3264c212
lock-exclusive	1	1	02	36725053bdbf0f43f2e45a627d971531a21a3b439de0468c394ec9cbe83e32e8	06e563e6846aeb979a22de648aa36baeec43995ab60be3cb81df20d05beb036a
lock-exclusive	2	1	04	75c2005b5b022cb39f8179c017b0114cdfd8138a550216d623b6f97d0a370479	17a957982c3c91b6513af17ba1397a24021c73e1b5b4f6ed4ec386309010fa29
lock-exclusive	3	1	08	97b8b06a3d98bc03bd7c08a13926732af86029327217c7589e315b963f0b730a	34edf4595d86a609aa99b26c7ce633765a70b736a80c3bbd903c8853301a7ba1
lock-exclusive	4	1	10	894479a05c64108dfe0b540529df417b7eca398603a9dd37a58c8d3efb8b3d85	b74d5257bebb96f9640d1ae38f35a334d3b7e516b8b7fbecea95e53fe80373f0
lock-exclusive	5	1	20	cc882cab2349a606b5f0987f81c8143795754d3d891712462040014524515dd6	4b50e300c83793ec23ff3bdbe9474e89f6e83ef262eab728fd6311f9f8816dc9
lock-exclusive	6	1	40	fb69d90ac9a4e330edab87570efbb1ce0f980fc1fb76f6274431934e4d51ab11	edc60f8d155029b88a806fbbe8c4c34d1363689f6e5b49a543e34eccf1f362fc
lock-exclusive	7	1	80	6c0525bdce1ae0491d0d117c37296f7819988b7379504651bcfb05e19eee39d4	07070b2cdbb8b53193bd0dd0ebc87ec153720b47c05eb6991148e5e06ebde2fc
lock-exclusive	0	2	03	7671dc207f21f123b54d7043864350afeaf468ab9d6c8e36135d655ae55d7e76	8e30ed5a25c9e31d27a0efb364e50aa7ea7818703f9f727cb6c16fdbc0f801ea
lock-exclusive	1	2	06	4b7a1563a9c0145fae5f365b1e9565b8e6ad86816bd7c9e238747d46b9fd0fb4	9f7ae672a96f9dd949819016ec85a57519df7027a367f46f6bc1076d09acfd5c
lock-exclusive	2	2	0c	a3b3f270376f7a58405554de4634a6cbbbf13c94d973cb5990b4b9cc21aaa100	e1b0a0671c89349a5ee349c6bec29f15e93a3069a8bab831a2ecce4b5934e0ee
lock-exclusive	3	2	18	2239cfa84dd881575209963fb57d9ea2452cc74f8099f9650f8847dd02c020b0	ba555968cffe001690a2ee0426b0712767b4251d5d9638275dbec647f16d24e2
lock-exclusive	4	2	30	85c8e1a969dc94b6566ab73cd1fb23accaa5663b08c2727eea2a396c7bac0dc9	a6acfc4409444b042623f471ea2594764131c3d171e2b5d879bbbbd0b1aa7ace
lock-exclusive	5	2	60	ca414537cba645c31338f7bd3cf706be755a7553d2deaef874452b45dce67196	c5b5d296cf1be76005c1ccc4fd79496a589f09023a5539e1542ea332e5d773b3
lock-exclusive	6	2	c0	5b26c444bdaecaeba59a9f81365ab3e3e43f6a2af32f54c4122a82a12bb6fa19	93c63ce6940da31dacc483ac1b549b5a88ffb69fe930e73204fc2ac83169cafe
lock-exclusive	0	3	07	bb05ff122a025c880776070ae72b73e29fa2a46e6c9f7895b16304d208429a07	416ccb93f946c2485bf4a0105c942ec242cd0858950f0c4998b252266f5c3752
lock-exclusive	1	3	0e	88ae5d00b72c8da8134d6555efcef131929a5c174c7bbf82ebeda1bcc105a6ae	58a7a49385b8f97fa558fb9b70185d4e9a9272f2133b47df65f8ed82273a0db3
lock-exclusive	2	3	1c	b5d6fb6e245d999126b4f9a3a21989bbc8b26a16669aa9ca1176ccc9c658297e	dbcb86f2be35e5041526e30f119bc975c86fa9de7e35636811385f5056481e5d
lock-exclusive	3	3	38	1433062db26ca95f3acfe486a0fa89df83edc3d67b59b121625387342fe65530	90ea31688236d031a951da05b0699222305264c8f4b9f31a58e7a73dec940feb
lock-exclusive	4	3	70	f9e1437bf552dffd011c06edcd6ef551da488e8dae4377ca15a07fee5703f113	a8a7e9826b50a9a09bfc92b79bb1b26c843f5a7835861e3b00ac91cf1ab15beb
lock-exclusive	5	3	e0	f427d97fc1dd2238ef24cffb059fec44230ab9ceacae62c2b5c26737e2edcb26	80ecba777c11d867165c818c91b70672009ffa69db9d6828448eb60e6630b3af
lock-exclusive	0	4	0f	4bb5e0dc9f2d2ab11e6dd2a9630faaec9440b359e39c6b1eae6a4104c4110cba	f2883ea27b7d7580a24b71ad757e0d0526d4bcd4e12e67ad94bd26f865d59c56
lock-exclusive	1	4	1e	94975fcc9e5f6e7ad369fd9b9db7cef55680442c2fff239a7331eb7b4e0a63c7	7f87ac4773c9666be960c0d83f4c5c0f2aca2d17a780ad37fa49e8d3f708a7df
lock-exclusive	2	4	3c	27f7e257ea53130fb7857b25d617a7bedceacbe315aae21c0afc164a9e3fbfe1	abe4fe7d0a594282f45b6865f243c7457e5e134eb902ca10f7aab13f6430c45f
lock-exclusive	3	4	78	7e70dfb1dace9339f7abc695fa280b18d7dddaa3611c0887550618401f2d3dd3	06e1b14e40fab6a9eb4c9c47e56171156640290e1617f843b8509834dedb6dc6
