action	first	count	mask	case_key_sha256	full_record_sha256
lock-shared	0	1	01	f9fa95ca79960b8a698f1e3c4e2746374271275642e6decb1e63f5e8a30e93dd	4fa3c264431308692403ff2205b5ddce134211b55728c002fb4b2089fdebbb5d
lock-shared	1	1	02	9178d1b88980e3b1cdfefb1d98c1effb3450c2761906c9af00742db87362103e	89a1e09b15ed428cb09b7778324e368de765d8f6b120dfdf7c173ad39fccc522
lock-shared	2	1	04	47ddd075a8e79ad3e991f498b58c3ee85c34e0810d21ddcf18ed61db94288307	5a8a27a10e62f3a490e8cc7fc494325dcfedac4c53378835764355a43caf864e
lock-shared	3	1	08	1830ee847178a62285c62bcad2742527ae5ec01b363a7cc5b88e7c8e87f49b66	a74b02b2bcb4ec507058966adb73994c2021e921be783efca1572d8af4a12975
lock-shared	4	1	10	ee816e3a07e07fe340e15210ab7aca3f3232fd3e70f821c07a1ef02f563835ee	10f4bee5a77394ab88b4a348682ba3c6210a57e83ac0d3def5d152d59207b4a3
lock-shared	5	1	20	b9d185b6c3e956c5764f7dcc1756cc95a7837f4a7c24a65ff662abdcdc070346	da5b834ff628b8d23ba438d095f7d5283e843c09e12d9998d3586241bc6571a1
lock-shared	6	1	40	f1ebbd9fd73f3cb9ae930cb6004ecfe40de7941c891fd6e2bfe140aeaed33433	015870994d9256a3d06b5204e5040a7da24d8d3e3fbfdfb9cfb073999ae4d5d6
lock-shared	7	1	80	04a891651f188fcaf760b8793846ee31195adc2a2506b2be743ce756ec3bcd71	27f8d6c885008e77ef5937525296ca07a66f8b93de094e0ed14c3491785f2b57
lock-exclusive	0	1	01	e5057ad4a9a73fa8c32429bafe4f896e55dca0ad5cd68a04256b25db70f5df73	40a5d04aca51766d3938ad0177ce16d52d2793b6fc0bd6da4afd447047881983
lock-exclusive	1	1	02	bab1b6470c49091a1abf631a24fe4606246c006cb55383ff5b6c3728c2317794	3cde63eb2a2ce9c61eaae80fa0206f7bd622a64b1bde849cc4e35fa89f6defef
lock-exclusive	2	1	04	ecf363ae5767a02709a10ea37e075da18ea3534afc86b4ad60dd0b04ea4d970c	2fa5608ccf7f89dc22aba21cd8abd14299e9e3bfd7d5fc98ba36fb81050a28e2
lock-exclusive	3	1	08	a0d735bbc4b92e82e9943caecfe7e33df3409347aa17ed2b8dc7da89965ca96b	7d4e3a0f4ca1bb29ce82e597a21d9c670b0a96870308d0a70f2b5b3aceed764b
lock-exclusive	4	1	10	85bfdd1c58afc52f8a0abf3e2f35651873495ca160de140c050b3f4d92fc272a	e5c284b47f86cf86fcd2442ea96682f4e60680c22d8f829b29f41ae003b27da7
