action	first	count	mask	case_key_sha256	full_record_sha256
lock-shared	0	1	01	5abc56944e700e70ec8f97a986807bb51e0ae285b2f97017da8cf669ea60320e	975e86f08a98ca1a7eb1ff5768c499650948ea78f68386321b9682ea899292f9
lock-shared	1	1	02	d2784d9231be638daf88377b87798f7ea443bbde0064c6f4a8efbdf9d6831ac1	00cfab85387fed467bbd4a4808c84a07f450e5fe9e6d2773d90e6c64bfade24f
lock-shared	2	1	04	81cc05c585a6c1201b3619c48d6eec3424e74c1a9515f7b6dfdf4da808f88a99	a70e6a53bcdbe8b0411ce9097bb2e05475f980c816ef412d9a34afeee58520c8
lock-shared	3	1	08	5e0da5d91e5910b9109132d569677ac251477e664bde4281828d3569e71e364d	e841934814e1289677b729fa33f6b3c59c47d9e3db0bd33d1683ecf9340b2a7b
lock-shared	4	1	10	3c8923960da058cf91276d3ddaf7e151fee9706cc60f669d8109bc5ef8ad5866	85c8be2ae0f0074efc1c2ffbfe9e92cf60f969b6bdc18e6100b325d66400b396
lock-shared	5	1	20	3a73c4cd9dbb76b6a46b04029a0500bd3763eb0943e5e7ce145bb13dc0bca0b6	0155c7a4afe2412fcc58ee809fedc91f619bb34440d63ddc05377abc8af7972b
lock-shared	6	1	40	b39d6eb4f9661e3ea2f1a5c7d1ad33a6840f3afabbde9725243de1bc7923488c	03f275f3e17d3c34d1b424288950c4d89c1638de690d4b57bbb8250ba1464f72
lock-shared	7	1	80	dc7d11f5e6bb35e24a4c0479c4578a84d711877f5d807ca2006c2bb0e617256c	c402332f46d5c0c991fbef1701bfa5dc94f185da5408da54a6389e743ff44879
lock-exclusive	0	1	01	9589d824fbfd8646fe50f469d7722ffff93e4a8c66133a621fbc27ec10cb8798	675eac3ef275254b50a1d5187c447c5ca872767ab1eb9a0e91d7a0be1b76f26a
lock-exclusive	1	1	02	b14325d3e99f51c4fd760cf493c5ebd8a9c6df0c244a9c94610130dfdbaa2b02	8de6592c691d7f88e21baad44f584af14ff8d20e60a04cf1c568faeb3ff0cff6
lock-exclusive	2	1	04	02f666dc910363c45b3ebf07a940c213a42817409e705eb74ce6975f54d0acc4	99fb06f0583586530ae3e44f201e7377e78142baa59b27f35f4f5c05dce73d03
lock-exclusive	3	1	08	27a90fccf4fca95c0b7bf42798cfea39dfd40a1bccb36c8c8b09190e1abdbfce	e81c4f03fcf2a6d0288142dd23badb66ae794d8e826d7785ccf6af95f5792696
lock-exclusive	4	1	10	ab46c76c0bc20b6e80bf2a7c62f1d7ab8fc267a21b3661acc1b8d00e9a0f2c48	00c0ee7b45a37bb119c7597bf0c81932d9613f92534e2a42e29cecc4a6077cd6
lock-exclusive	5	1	20	2f647ac869720a789af33e4607287d4dcab5682bc0ec298782fd136c8e08017c	d181ea95b752c598346454791bca4113ece9f1eefe4a9e690341581914a7f21f
lock-exclusive	6	1	40	c95d2d4df5c94ee677629a9ba5f1aa0f47fac0ff73e1b2c71c51e760a365b940	46d5e1b537154a946333bf9aedecf274a7bff5d350af539fe01dbefa60ed25a4
lock-exclusive	7	1	80	e442eb9f3da7ee89e22c7da0c81fbe7c8a9b40587f26393aa0e517d0d9942b97	8a493cf0a859ed4595709d07e4253d5f42c09f512b1efb17c61ea40ef6b3ac1d
