action	first	count	mask	case_key_sha256	full_record_sha256
lock-shared	0	1	01	b54e1ae561460177103f4c4d7f9d82db2e784fc8e324d03148667393d76c6a16	92e54941267a10c3339b18d4a067c2d627f7367ad35865562a027344508e61f1
lock-shared	1	1	02	885e0aa8499bc7fd23ff00389a153674e79ed79c5ac16437b2f3ed069e018e3d	cba47b4411e29c24af1d28410e31624fcdf0d4b77fdee7b5e78e0c844d5a97c9
lock-shared	2	1	04	956d87dc47116b27fdfa9229aa457a1fdce52112eb2cb22fce47f8bd980c2e8e	fe06952635e62c43c2f9fabe6e6ca697846cc8efb089e4bc5229a5018e3dd9cb
lock-shared	3	1	08	88f664968efb3e46019f6aab6acdc944f8a7d3a6267999651b7b456a9b738811	293588a9d4e674fdfc7e0153fe566439460e6f33f661228a5f033d4b54cd90ef
lock-shared	4	1	10	3c37fce18ae2dd1b740ac083f395c2f42df39a62ff30c0e3bbd2305748663277	d99af4d2c6dc249569b0194f1daf3867796c7ddca2b65a72d429109284dcc72b
lock-shared	5	1	20	dab6421cd8807a1ed9825c06f6d7d12966f37d8f1eb54da454cfa68058522c45	c61c1ce8d93411dc9c69127aec315c9cd40726ff54f170cf100a9f8dc18bbe1e
lock-shared	6	1	40	a64e21236e06a90d2992a71fa0c3cb72c83f6f8827f527f3f24f8ac817eed153	b2d8dfae280840f4c99cf04b71399ebd103fc3cbc9ea1c13de20d58300eff4c8
lock-shared	7	1	80	f55a7fad63cbc6b1ff572a68176ec18cfb1cfe70924e721d741923b43c51a1e6	8ea7714b08ed92db0c2b8aa617ea5f9ac578d2ef138b9fa6c2b95e433bd74a03
lock-exclusive	0	1	01	1575431662cc5dc5c9ea03bee77e414c2a1023b246f9366f6799c2a95a9a3202	5ccd216f956bb099bfd370d391d0f87e5435d7d7267cb033ea72dc3a5190d982
lock-exclusive	1	1	02	61354be39b8f60dffe83ed65f726593ce1f73a61a01e7a3d6d21f8cc822eb2b8	74638d0c1a6f15ec85715d081134f5904ca84c2ddde704fb8da20367f4f857cd
lock-exclusive	2	1	04	9130ab4de5ea430c98013e3805b7a4c909ae046d501dd0f6192550f870cd286a	1fb75ca029cb05bbde76931cdbbd2b7bb2ab68773b0bc236bf0959ef5cb4d53f
lock-exclusive	3	1	08	7c044f79ba92f0c1aee31eb3cfa2ba16197ff478da741ee26d419a6f705f1e88	cae4af76b63add2f1582accb093766eb090536aed5f917c7428ddeac2c298ae7
lock-exclusive	4	1	10	6460aa16e237a43858b414943e39a5fb3ee9fb978abdeb6d58aa0663b573edce	8ef54f8c80d28f11d00972b55d62a7965d1e043b855aaddc06d3247f0962ef77
lock-exclusive	5	1	20	21a5b01e5886d0fe9c29299d0706b88c3eb2f212dde178fa3d89f6c99bc21a55	df229152909f59a36e3b78399e1f1a2089c28e782851289549a6eb558b795639
lock-exclusive	6	1	40	3d28a2025892906c79b33ffc0f6cbd090b198c3f5b1916b1495362d9801e705a	d53d47274de8e7a2dd5eb5f372097f79583909ad6bae5d52532697275d270caf
lock-exclusive	7	1	80	f2eb1cd79cb5d31fe74f61f0452da09e88dc300e5b5c81740a5719b86da3a1d5	9ba8aedba2ffb6be87ba4176c94aafcc713172d96d562356b9132d0890a938a8
lock-exclusive	0	2	03	9cd0359c7e3afe05bd2d388ae29525320f0701eba7fbb7b3bacdce848b797d1e	fd4ac894a329778f7d933145aa4d873a7af3e94053b45823ef9bbfefd9598a9d
lock-exclusive	1	2	06	ea05425c3dec3713f37ab77f41ddd3413cb00472fa681c127f655a85ba11bc68	037ccf829e9e02da530b9d420d789b7a4fd307c02905180b27baae7790ee9fbc
lock-exclusive	2	2	0c	1ffaf0ad22cd66e5a42108519fc4b16c68b39356e476d80a362764783c1b6789	21f4403088ca4a55842601ca5592786220568cb954aed65da1cb3505c0e61dd5
lock-exclusive	3	2	18	be1f5aa6ed54a43c644605cda630412772d9b35fc661cdb5a383dee08e1ea723	9dababd16970fff172a5e8aaff707bd9127c4aede8f3f61da9e3577258215b49
lock-exclusive	4	2	30	4cb77b23c6b8c15b96310b911fa1b9cf1d7159a9058bf77670d9abd846f54678	f556a77f59702637b969082885abf9fe4f67ad7b1e9ecbfccd1860171e16cccf
lock-exclusive	5	2	60	9e6ee82158904772aed2b2a353a03f28c3736d57118003da10402f98f995f90a	c4c6aa26d565d98e6e01b8efba3497bc80bd2751f45ad90320f2559dd6fbd8e0
lock-exclusive	6	2	c0	cc2fae0625a8ef713a22ebd746aeb73a40d9df0127b0fe724caa3d5dca4565ce	259c64238e2f917f640e97e473017a85422e3e1b031f923a7c79c8d7d9f359ea
lock-exclusive	0	3	07	515573759507f5aa4b0b9cfe13bea728bc41d6cc7d6fce47e691f206e08b8c42	5d953702e18fb9cb1d1ebd9ecccbe570cc6f989d505c2adfdd1ab1741560ecdd
lock-exclusive	1	3	0e	2f3dd279eec28f1c7b6f41b7447b63b3cbdddd29107fbc2d5d37009b86b739d2	17e5a2a9bb139c727961268a09036057679e4385cf7600612a42c4d4f3ddd50f
lock-exclusive	2	3	1c	59e86ff14b68514d7a222edfcfee97b6ea957a4399724ef5536b372410e69549	1b5aa3c0a3ef31271ef3c17c99b50fca190445e1a7b4802c1b8a2bbaad4e2361
lock-exclusive	3	3	38	2b5f435899703af42cba348344a91be3881f8ea0fb2c0147df918337bd72071c	ee7bb2defe9e60d0b4a379c11c4585b42ea4162789e9eccaeaf8af5b418bc487
lock-exclusive	4	3	70	0d9c2d9737a12ebf1b35202ef54fffb321ed839cb289acd0f8caae06ac9735ca	d35267d9bb3c04423b1abf5ef2d034c3dc72fc33325754d723539db32f35b738
lock-exclusive	5	3	e0	b5d6a404acb60e4120984f2044abec2b5629a2651c6f6110d09479980cc23550	e6c4a2bd8e7f4550a39322a16eae6cdd29c5cbfb5fc0e38ac4a8539bfe813e4d
lock-exclusive	0	4	0f	be79ece7aacf9111fdf2aab79e6e320068ffe6c1da3ef6db87e6e325527d68fe	11b1e70899581f1a85905636b36b13caf8a90705c7a43938c14774e8db350cef
lock-exclusive	1	4	1e	3ea2ea24c05c9d1460a6b00f9e6042d3f407e9643dbc325688dc7186d35fe400	069f7f45d075b94f8e4cb2558dbc27799c287f46973042831faa0dc5434b93bb
lock-exclusive	2	4	3c	42349c53a5b9ad8e8d966e630d0f88d57d28dbd96f11734b4bb3b897ceab7f7e	4318bb35f0d259f5af30f782f93c16de779dd46dc322afe812aa8ea63286a1f6
lock-exclusive	3	4	78	ca40673b0141ed6a9c28d529e7b43016efc2a90f74b5aee9dd744ab7f00e491c	3c6f1cd9f5ed07ce4455547e2009abce31d45ef0b4bece69461093ad930f4c59
lock-exclusive	4	4	f0	991ef42158a749c9e74ca9d455039d8c2b943e2caf72146534ac3a518acd6c1d	da7ad90716790c7431e26a77537ba5b587d75f6ec6417c76926eed44129ea2f9
lock-exclusive	0	5	1f	898b9aba088e9c5c2c83511e3c5d6f7899b779ced0fc749eaa4c1e071f840dd4	cab9641e6b40943ff1d6f213cc1c424f26b8d36526f956e4251482d7cdf0c6c2
lock-exclusive	1	5	3e	71f5e2affc02e2b05dd3cd4294f547b610d1189a867d7b9f613203e64410166f	b820e4144ecc67f07d9f8a0107b7cd7e0ca20a23dd63974e8d6ba4ea67f49e9c
lock-exclusive	2	5	7c	a7d4ba835d11b555feaa20daa1eef9e5e32845a096a534d562fab1e1a2239efc	03fc696f48d5a7531f3254a1bd323fa96b28f06d5d3a0351a5e2490e27939cc5
lock-exclusive	3	5	f8	f182a6927d95859563f9407bea4f087ab6d5450a29ff16372c17230adc265c46	43fa439cf49df74d0681432fb798fff741f0d65dda4e98d9e073305e66fb2b88
lock-exclusive	0	6	3f	353b13e2b27092e31b5565704dc10313a0aae9ed60e981088cd1dbe9dfa24021	96c67b66acfc4ea92b37181bf7ec0ca4db277aef8e1dd67a2d672b348f3cf06d
lock-exclusive	1	6	7e	c831777e2978e9d5ca55353c4105f256da1ab4598848fc989e9e4285f66c0b3b	33990d3dc34541fcd05139d675784d5af25c94895a94afbd53d7f44576f0dbf3
lock-exclusive	2	6	fc	fbc1ed1f5fb811588bba2cf8707402ce27862c910a733fd610712e510a4b4184	6cc4cc5b310a90821b6aa1bede6486c6aa2b1f2b831f6a27516a9a814024bd3f
lock-exclusive	0	7	7f	c44fc85ae051533fd0770d078290cb8727fb08ff2cf181d8037203fbee197837	41d9d839e513ade64c5c9e48c1095baae3b5a7b9be66af280a73163c4be1f02d
lock-exclusive	1	7	fe	413eff5ac46f58ef41daf52a72f47b472c72a6b5a35d15d2a4b33890d074ab5d	de9fa5c8390929ed4fee1417e166484ad2f7f99084d2bf28f34ca62a296327d0
lock-exclusive	0	8	ff	17f7742bfe5335b3387d50a4b3ef98a2259f35a929b2e507dea08e904be9d33a	300d41f213176390186f0667b20b0f81cdba9b981f771d7e00bba9caa93dd5a2
unlock-shared	0	1	01	f5c5594c1e6363ce157b8e12ae9c8554c6eddc04547540ea25c02edc21c5482c	24341e988758fc3a232835e6c917986eb7f9b71a4196865c3b032be33a8fa7ad
unlock-shared	1	1	02	02bcfa60bd3babe94d61bd8d0dc7305f924af0ee62c2cbd4018bab94d93cc506	7a53f8e4043a9d18101c87e3b1772f1a5720d55b7891cb23378920b80821ea89
unlock-shared	2	1	04	31e0457688f62952f9f3ef73025987b8a0df2c3de0685899173a91e3dce1297a	6cb5e42c5bdbc9f44e74feb49e3a45ecff6cfb736f3e99cdbd2368c373909e87
unlock-shared	3	1	08	79b22fe0075b7e211a8d6633c150107487067c6bcf34729c750172a90a08f1ff	8b99709a4636c2b13411a5f7f20fdae3d59728f7f5d9ab797e7863c8aaed8682
unlock-shared	4	1	10	f65ac6000b562351895431102bac9ecd8f465e0ad62be334d472e0b6b0d25d75	4591adbee16a2189424bd8ef54c7c21d8a06ae6c178825dafdd4499e96833d55
unlock-shared	5	1	20	1d0f60aa78326635950501192a1e76e6416e0ea5810a583fb7cb835276c2bbc8	72c94e0df0cf94c2f975d23e4378502c6ee15cf6fc727ba78588a38370779999
unlock-shared	6	1	40	56f8899544c61ad26a8ddf0c8fd1d95fd888af8581b101caba8affe9c34c2f73	bed193a58dd4251d5ee8e0c37755ca02611196034552a2b737751b4a031bf115
