action	first	count	mask	case_key_sha256	full_record_sha256
lock-shared	0	1	01	20dd353b958ba68f22744eeb31dc15ce3ea5df7ed1594e3fa9e79ef0971845dd	23979d3e4ce3f307dc2eaa7e1e77eb3480c7c0e3f231b4051d4a14de114946ef
lock-shared	1	1	02	4f3c7a52ef8cb7ac4e9e33ff5cb186ad1b4268d058b2458a8aaaf8f944c87d1c	85b64ca49564b25221d60d1737d33982c6a56a3dfac2b1841d6fcb98d19bae95
lock-shared	2	1	04	6e859379dc8b5a87fa78253e876de18752ff50b098302d5301d6ff606660d5b2	f1047ca3529fc56bee6ecef9ed9c49dba364ddacf99efe6469353311bc993313
lock-shared	3	1	08	81fab5acde40808802e6b50438cf75675298c20ddc20210af7d642e53e65244d	a087911681f8afb84f357817fbf76bba77009563fec2956b48a214c1f9e8a307
lock-shared	4	1	10	51d900e5d039d470e2fa34dd466cbfc22d6b8e8a06a6eda94057f8ca90285547	c4779880963c0c636de88b2f457cc8877797700373ce733dd922d7e86eae2f5c
lock-shared	5	1	20	cb8cd5611dd01881501fb5f940b48426f286659bca23f32ddb4c8864fab676de	bd0ab33fa0583081582475fd9bdad25c231b3daf89ddfbf1fd4e6c50a48074b4
lock-shared	6	1	40	534c69e7a7121d0e8bd4f8ea8cad0a0553c7646cbf5eb37df3610cc326810dc4	bb2c7981289946d2462faf5b2eec9cdf4fc381164a8ad2491888d2cc6254de68
lock-shared	7	1	80	ba06b72207bc433873f716720c98e4d24c2d7e59f2dd2092602eac9ef93c2a5d	6cb0e97bf6d2326883049bc72ab740bc2295fa1ad8e31364c8158b292dbd5dce
lock-exclusive	0	1	01	4776f0fade496f76ae2042ecfcb5a46e22bcdcdcff997d65c51823f0a0b98d00	0f7a0af6c35d9d4f0ce76c0a977741c1b819d40d4904c6c06a63155e7c73db5e
lock-exclusive	1	1	02	c179996b290244dcdc3b6833cda1efa3faac6d29bffde973d18eb818f781e1fa	b51e6e58bf72adc33b4c12a8f72ef6262d8530335e38fc2ee8df65e89d9a9fe5
lock-exclusive	2	1	04	5f00c04c7b49e02f1ba7e1d3afed7a244e4c0d8615bf10a5d11a9f2d6ee140d5	678847bdd0efef7f620b0b7a3c88ff8d446fe971c05c8ccef289462e0170c479
lock-exclusive	3	1	08	dacd1f63c506624eb6e5f843f31070f693f63914111f107fcf7ca65bbe0841c1	34c236100a6b034142c7d40bab88d49a9536e35805f90b433a02c94ca14229b8
lock-exclusive	4	1	10	10d9dbefad6973e8d9b961ec0488e40f7c1c8f57ca9a45f1ebfdd58f44cff572	c4a48931c42df4fb7bf05d02485170ba18f842df8d631b793273d3a71f0eef2a
lock-exclusive	5	1	20	ffd9955f88f215627163e02d21f262a2a0bfaed0910be96a9d1bb52f3980ae22	4ca618e9e7a340318aa951e557b012d88391a9ee6eeca3b3ab38400bb7bfaba5
lock-exclusive	6	1	40	193368217d5edb856ab04fd3fb988e02f4d38c83990d9e5c72c82a5bdf655731	2e9e913aa74e2821217ce4d3d0094b4c89c2eba708db0279fb220f883387b5b4
lock-exclusive	7	1	80	8e63effebf70fc46ff8d3f94d1426cd998089d8e90ec8da5468c2f2140837bec	5637de9adc7d97397664f4ffa03ec66cf66e9843a0094f660a3fb076a8ad0958
lock-exclusive	0	2	03	9a7fa5bd1f3812b7ea89ea5ec3602733283320c994835ced929de996c77c101a	178a27c83dc12f096095a5bb10ad2405226e72d66dd8af798609cec02b6281ab
lock-exclusive	1	2	06	2b4da75dc4df159af9a233a7b0b00f061cec322a3958d2f92144a787c96ff42c	81cd32dd7865237177bf0cc4df8e657b7be0441d7db660ac26b64a6398206425
lock-exclusive	2	2	0c	f10fe003da08dfbc2631c69770368b5cc127204c58a31c1bcc6783cca23c8b8c	697211dbd166d02d611e50d78c5143ddc6749bac36ca828130aa90ed67939804
lock-exclusive	3	2	18	98cb2b075323c424389982bfb74fb1dc31f68a23797a23bf1f603ba916e5f8bd	5982475abe92fbf25762b6c3a809ac5ce9bc598a82756e240c955d2cfa5cd138
lock-exclusive	4	2	30	634b79a55619ca239dd1386e666ec1e5681083eea50ee6d7a057aece5fd66f77	7b8e53a9c3b89bcd6ac9f0921cc9189964484ab6e5d3a02698bff56a9cb9fa5c
lock-exclusive	5	2	60	5af2a7d9e56698bed5c80304db7a612cca9c43d6653304b106dda7f93f944480	ba3a69b9b3da90106d1aecf720b07e74678ca58b7ecbed1ae14aa8187d3619c6
