source_site	raw_state	completion	case_key_sha256	full_record_sha256
raw-state-abandon	null-file	direct	3613f596a6f347b9b0dd9f72a9f5550c070649fec89352b373e5b13df96e9462	1128c2e0fb8d7e674552e914f201c728e9f0360bba9984cd4e015a5deb1e1fea
raw-state-abandon	uninstalled	direct	ce051987bb1646d88111d2204a4e6546406c438efa811e193af74026806673b8	bedd5e49e08955663aa3d5c0bf9b95bfd7faf29eca583483a519186fc113bd45
raw-state-abandon	methods-null-state-present	direct	dacddaa7392423cb37a72d4f3181adb62cbb3ef317d30189c34da13a9cf7c91c	a64803f8ef594651f722d46ae9541376198acd0515d3a766b5abddb46327a487
raw-state-abandon	foreign-methods-state-null	direct	d2edbf72e2b6ea3ecfb41f46bceaf70dba60f444f0fb5daf1c919a1889517b10	95ebda3b1b5e032848fe4451d21ca5def883398ed62baaf4d5bc7e2240de917c
raw-state-abandon	foreign-methods-state-present	direct	ea0998e264257da80cbf656da9f162daa438deffb4705bb41b8df00d7c06ded7	fcc7aa89dedbd37ad8a272d39e0e93570122654ed6ae5e132a2270351380a0e3
raw-state-abandon	exact-methods-state-null	direct	520f219e3e4597c6c48adcb86a034aef246b97e02ea8ef5d67e6685be490251c	a0d9f0f078122268b217830f5e7c479428fcaf4e80f4c12a109ce1207d09400f
raw-state-abandon	other-type-payload-missing	raw-drop-completed	ba2455483af9f37ee2cba8d36c0b5a1228354d3ce26d6129d6cb8e2ce4cf1591	0933d7dbae250976268774944297196f0b6d71aff732b1a485743e6e132f6af7
raw-state-abandon	other-type-payload-present	raw-drop-completed	fd9037e5c5f50f7ff6d5bf51de54a77e9b1e1838bf497a8acb5b30a437e94d71	3e99ac7f8dfcfb90ab88021408488adee862dc973058013ba6f1c3a12266a306
raw-state-abandon	other-type-payload-present	raw-drop-unwind-caught	87e296ed9e67f4b77660d9b417709aaf8a74a224e5f1bdd89fdb148380d48dd3	8486d9d3f2927dfa1361e2fbda651eed8afe79a52c0d29ffc8ac95adae69d6d2
raw-state-abandon	expected-type-payload-missing	raw-drop-completed	93dc7713dd4a0bb40aab6828dee2c67810936ae825e381f6485bf0edd8efc807	cd699b7ad4457d2a41895efc5f4e4a5f11812b4a88973975b631d6022140627a
adapter-dispatch	handle-bound-file-missing	direct	0464f6d359bd6c8fdc2ba53487da4b73c8de1cf808d083c187bcb5244e619790	4f73974cb4c4bc9fca70ca94ed0d7eafb03511d247e7a67bcdd599b809ad7e21
