action	first	count	mask	phase	mutation	lock_outcome_uncertain	case_key_sha256	full_record_sha256
lock-shared	0	1	01	Gate	none	false	994dac9f7efe479f82d94c1c7554c3c9ae85b67affd573ac93bb92d5edfb6288	409232f347c933e9190f0df62a8666b3d0a645e83e69010588ebc0a1d8ebedab
lock-shared	0	1	01	FileClose	none	false	7abe3a258f76f2c5154cef4c475044d78a0b60a809a237339cc159c3d87e57f8	7c09d50b39aa954b810e001205c5f72b098b0400616a75c6d6e613b2c32887af
lock-shared	0	1	01	ExactSiblingDelete	none	false	1d2efa0000c07c71833d83eb472f5192b4a6205c984ee0b4b6c79bde03b07917	85e5ba63ab670318f251a78896153195f5c83466797e4492b1ac579921b21290
lock-shared	0	1	01	ExactSiblingOpen	uncertain	false	a7a71d2b8f316d5bde1b54f47d1cc050c4bf856a349997540df4e9ebafab3698	cbbb998c8141d368a3bd7a334d6e43ef481b9e66df7825be6df5246525d3e8c9
lock-shared	0	1	01	DmsTruncate	uncertain	false	eb4e0d0ba97ad9e1354316dc5a1da97a5627261065cd666a3f100fe5956c1316	39cc315484c04b8d1431d2701dd409e2e784cc28d133b1bf7aecf622ccdf0836
lock-shared	0	1	01	FileClose	uncertain	false	ff7f7f393d7504acf732d90923771284b41ece4d853a4073071df38fe4c1d3a4	07fc64a22262da43201dbb7823ee09b47ff00f3a97f2225682fe887ad1160b6d
lock-shared	0	1	01	ExactSiblingDelete	uncertain	false	bbcc4496cf2ec6efd1eab67f16ecd5b7480727fb6b224efce17a5af6a928d680	7324a5ba6aea187f94f95068f74950e89ac0c17f9a1e4cb3dfb18d2126e5fc21
lock-shared	0	1	01	FileGrow	uncertain	false	4661db7c6161650c715978eded4d241b868ca869540147bdaa1e678d0a54b189	ea7f914df4e4701ff9f3a3ba053da97431c46d38faabc80d5469c2bad753cc24
lock-shared	0	1	01	MappingClose	uncertain	false	c1bd471d2b22158ac4cd796fcee6b871046fe6d391e93a8426c25d16e7772634	db9d633b7b74029340b9094c2e82feb4a1b267ee96fe066a570875b291e752e3
lock-shared	0	1	01	ViewUnmap	uncertain	false	0465fc307b93ffa51f85ada57e5fcd25c993daaff8521dd585399d38ea4a4776	445e89b2be3becd4d5340658c47ab5b124134ac9f0ef3a5ed0ba962f2a53c453
lock-shared	0	1	01	LockRelease	none	true	3059b49393f0de8e77a863aedcb9b397bc1e3aa2f877293f7fd051ec96dc4309	23682fe093657af649515336c7227b9add2a39075b5761fe201d6db5ca700fd7
lock-shared	0	1	01	ConnectionDetach	none	true	7d3c2fc851ee5abbdd3711a83d899af37ad68dc9b25e706d66f63a199782cef8	dbdd08046bf1848a0a1d1429b6de4d801bd9e5ad8575fd8b07fe416790c169e5
lock-shared	0	1	01	DeleteAuthorization	none	true	d9c839732a4e1a2ff0b65ffe2f99a0101968668ecfd932c9d72912c89c2674c3	06331c43c72719597a84bd223b47c51dee3b047cc650ca64e0c1973f36c664c9
lock-shared	0	1	01	DmsExclusiveRelease	uncertain	true	42546a077fe65b07a93865b6f7849e35e8d1afb6ee2fb31cf05474d08ca33e17	201c2413925decfe98b911b900645aa057a3ce472ac0139335fea071c57094dd
lock-shared	0	1	01	DmsSharedRelease	uncertain	true	a8ba99e29dc9d2b53275c604491f08b1a23e4df1c12ee12715e554704831e84f	a6d572e1f7f746effeca5a9dbb0329d8d78a15a9d87311da4ca564f46675fe99
lock-shared	1	1	02	Gate	none	false	4882d36d79428a5dfcccdad04f6831da113d95c3339dbe33112ab5d1c39e19c2	9504d9581518407dbe5ae5d6ae4fa97846f04353be6fcd920c467736e20e60a6
lock-shared	1	1	02	FileClose	none	false	ed0af26f3ce270bd9b070c6e59e76d915e401426db9773910329bffc894af520	a4f59bc60b313ae8a35aa8cbb22e7c728020db42a91c8ba8fb2c7fb684515790
lock-shared	1	1	02	ExactSiblingDelete	none	false	6baf55c96b2d2395209ff2a24e858bbf5c37a9588f97ae07bfae8087b8da2d61	49360c4c11c24966413bdcb8ce093222b0c3a2d92c6fcd06da8e95ea8294e6d6
lock-shared	1	1	02	ExactSiblingOpen	uncertain	false	eb5a0c1a6dd382a5d5c70a4f4d21b5485394d09eb2cc7b5313e79f6632d25527	5ea60a358fc6deec8d4123427c468a526b582a04aabb306fadf773ea32aec09a
lock-shared	1	1	02	DmsTruncate	uncertain	false	34445e37086af1774a68bbb29dc48d3accadfcbcf33c537daed10fec56de70f2	539781b491af085c5f1166d7ff8233ae4493301ddbbf867bc0cfbae7cac8e001
lock-shared	1	1	02	FileClose	uncertain	false	2d2bd7bd1908730acccba0fa5b5da924b301d7e5db9236643c6d3ae8cad900af	926e3baa452f12074d5d824f323c843071cc76f2c3fa0bb1bbd2bbbdd0199bcc
lock-shared	1	1	02	ExactSiblingDelete	uncertain	false	efe15d0d0d7a3948ccb464c9ba6cb99dad519f4aed70c09dd58232fb4dfa02eb	188551e06e531497c1f6f4a20a8024a9e34d8a39c4994fb6a29da48e8c3b866f
lock-shared	1	1	02	FileGrow	uncertain	false	808bf153d0299cd3cf7c1217268973863c8698c133d7fab1bca76124723c2e09	0c804b24d827c1c2e9a3f5fa08e63d6c3769f2c6d0329b333b13b50839466fab
lock-shared	1	1	02	MappingClose	uncertain	false	3aa0ccd506af192bf7fc8e17fd6e80c75cf97a78938537892ab2d86f388a703a	56fbe4c73027f2a769ed738360086473d438c4504a41605a7b4fc9b843187b64
lock-shared	1	1	02	ViewUnmap	uncertain	false	09d96a6bf428556d56ec3c2b60d7679e66776afd6a8ed290c240ce597d52b513	a4bf8303870383155151b142a1bdfb447551ea4d456c710ab76cd9e50997b39c
lock-shared	1	1	02	LockRelease	none	true	e086abf30a9c923a5cac398ddb5075aec5757e392f218c177d5ee4f45733f10e	8cf1667adad857e5f3fd2a7da31612c86ff0be78f80df7a673a26669ca5d9426
lock-shared	1	1	02	ConnectionDetach	none	true	32d47d89f6d8921520de0ef393f9e7133bdbde5a86f3c87e163156d6f504345c	5833a81b0ab6e477aaf644ae7cc9f4b5ccc0988a3bfe3fb857857296faba8e0c
lock-shared	1	1	02	DeleteAuthorization	none	true	2acc358c6e268dddd06533ff21301623221b9eb9405511a59fa1daeb936a138f	6215d4d12f304adb208c1fd4d888a641d83ce073367f073e3159b5d9a6ed19e7
lock-shared	1	1	02	DmsExclusiveRelease	uncertain	true	027a43379b4a591158df20808c5e60bac1ded3348453ad79aa87d8129136d762	c73a9f14ed00ed7efcf94c40c394ba5b5c35e53e5a840abcee1634f9d27671ab
lock-shared	1	1	02	DmsSharedRelease	uncertain	true	f8f7f2505b898d0855314a3cc16d26b09f0afb036373c849ee2d283e986397d5	6fc8e7de3cfbedb6aac144b18c4ed6f3d8ec8c01791a7169120d6c38eaea9591
lock-shared	2	1	04	Gate	none	false	e2874192f83a3a27609b3e713fa369a2bfdc7637f8810711eaaad46335ac97be	2b93ced9afd9dd5c9b6483bd66cf240ab8d6805dedd0af9ea395a56b945833fa
lock-shared	2	1	04	FileClose	none	false	cabff410d2d183109812a34d8b5ce571e24f1a8f9cfdd9111324832b3c8a8d75	a63c27bc4ce5f2fb43e40f1d287a59b860d4c40c5570f788816167d55c159c94
lock-shared	2	1	04	ExactSiblingDelete	none	false	dede213ff8890a0b7d202c0ab4f3d7f8f5085410962e8a9104fe4f3e9f4a9dec	070976cb8513976ddb44526376aa86fc891619076edbb4166fa3333a4abf6a19
lock-shared	2	1	04	ExactSiblingOpen	uncertain	false	ef82218d200599bb0c9107bb036f928db2ecb76075de24a71aa0a0b51d021b63	3dd4cc6f5108648418e853345c1635ef008677e11e73a5c7e1015c07c21730e6
lock-shared	2	1	04	DmsTruncate	uncertain	false	a9ab05e87dc4cd6f9ba131c638ef75c4522999ac8644c27f29e8216baa08c744	aabebca283edc90a4e419d9a4837f2e6b12f9b6ac53af3ebd840784e2b11d0e3
lock-shared	2	1	04	FileClose	uncertain	false	62be5cc83e8455fc2acc41644b7f41295edb730ee203337ab2958fd203d9f93c	8408f6f4e6cb1037f68122a49dace778cf6e84d956f5071d2a23f2c65434e67d
lock-shared	2	1	04	ExactSiblingDelete	uncertain	false	35ef15674a513f433ee3dfc2e07ab5a9f51b002769726160787d16753ff47ee1	d3e3d7c4d495fa447c4edc2ce84a0d1e5862b70ab3ef56897ed40a795288eca2
lock-shared	2	1	04	FileGrow	uncertain	false	61e198dec167e41dbd1d2d99a088f10e753762f04a7df6d609b710b1bc7096ee	9f01ad6cc349c89b734fd0b1b82c0c7234a54561f12e10aa7043a5229b0170f3
lock-shared	2	1	04	MappingClose	uncertain	false	5f9d9c3059d6d625dba998beb9a10e2c6f79f1ed98ecca870683232598fa7bf1	622b564b35af0e7d6e5dbbbf8f76f840f8633ae4d09f2aef5be1072e8968a62c
