action	first	count	mask	phase	mutation	lock_outcome_uncertain	case_key_sha256	full_record_sha256
lock-shared	0	1	01	Gate	none	false	9a5b1e55e953e25d8ec42d9af391bb83dea93195911a18b3290e952ef87e6c2f	72c3f04cb8dc3b065e0f4473f8f697e8dbaca9c1895c9dbe8954c46da2f7f74d
lock-shared	0	1	01	FileClose	none	false	7346b31b08d5720ddec3f4e9d2e55158880b366edadcfe58f55413dee85f87f1	26821d35c12fc38fa4420b2402202716f3718547002406481b21937c98ca0d75
lock-shared	0	1	01	ExactSiblingDelete	none	false	06d22b7b7b172262b17a566b3497e77d7d9891a6bd922a2a36441b6fe5b63f44	4c8b63f5a51f7525a8dab388e154ff46072e5ba5d2fb4c50914f247ae2e642c4
lock-shared	0	1	01	ExactSiblingOpen	uncertain	false	88a384553802d40a806c0c219fbf32fbf8bf67a062c966167b0a6110a51c0781	c053c2705e2f73797d00865c869dbf2388b0b507659833dc8c37ecb3220aa72d
lock-shared	0	1	01	DmsTruncate	uncertain	false	672270bc65b53a48e7c342ff4efa809b77c2bc47a6129220948cf8eefd33c1b0	ba988b8d0eccce607ffc2785f09171dc0da4c0d408cedfdd0353980b25787a8c
lock-shared	0	1	01	FileClose	uncertain	false	647821a094f49d808a24931505af715b6f0e7f76bac3c0110da33048886ef29d	87c0a50ddb4da1da354e2330faf3aef9a186bea64395cfae75998abe766dba0e
lock-shared	0	1	01	ExactSiblingDelete	uncertain	false	73da206043ece4c27ee055ac651ca3e1a27d7c981990476212e2c7975e1c60eb	eff9f5ba86da74d9ccfed1aadf07abc7a8e2079aeaff11059920ed4e6d25eeed
lock-shared	0	1	01	FileGrow	uncertain	false	18bc8cdcee92eb1f685e31de9c861e01b946b09dfea71842040b86571fd7c648	ca2852a651e77c75e599060b17432e54b8e128cb601ce13e89d0aa3e4227e00c
lock-shared	0	1	01	MappingClose	uncertain	false	9e285721db41669eca62e1904c19d0d4ac47b03c18cc1c3ea92ae985902e71f1	22d122a524b794dedcc1b1ccc54d4956983bec8e62c9d2ac18051caf8394f70b
lock-shared	0	1	01	ViewUnmap	uncertain	false	5790a8b58498dc188595b676e54a554f13cf534e292d644a557bf4a3914010c6	2349af47ed4d5f7e0703b58cb172b3ed66b1e51eae475c258425fb6c4b7bb2c4
lock-shared	0	1	01	LockRelease	none	true	5debb0e86edfcd10d05ed01d99dee225b184cdb9d4a140ebdc1038a6021cd178	ab146afe3308bd5d651474409ceb0388f9fe644de62939ee68e4a4d8843baa0a
lock-shared	0	1	01	ConnectionDetach	none	true	ac3bac51c7f5b3952364cf660480505d5fe118504fe7f78ceec2379913d39946	05efffd53dd9c9a7ddc0905327a0211e715f46749b99e809f58c7d531aa7e643
lock-shared	0	1	01	DeleteAuthorization	none	true	93e955396f8af5dfae0e65bbd1d351bbe0d701cb24b04973655f8b653d2dfa73	e5569367664a4b7b273c2a3da86b5801585cfb980b85a3af6a86cb63660e820d
lock-shared	0	1	01	DmsExclusiveRelease	uncertain	true	7b5865db23d979ce26142bb9c905a45f371770fbc36c0a90b4b727465b99800f	dcc92368c9a450c7e414d98da4fd5bb79c30851fa4fe3f356fcdadad8cf55770
lock-shared	0	1	01	DmsSharedRelease	uncertain	true	733b755c68ddda17a54ff358cb2c3c10d5729757b0a551389d042a1b7fbb3a1f	c504af19ed6083d2ad96dee48d2940f513e5366f9e07a1e8fe3eef01e58aad6d
lock-shared	1	1	02	Gate	none	false	64f53b5f30e27b073a3b1a88f46f492efb2c4c8543dbda57a274c02f75d87b6c	19300209429d3f69872f77d2eadc273ad6bc622c7b982461121ba0b4eebafb4f
lock-shared	1	1	02	FileClose	none	false	477604d583c4ab3633d5bd75a5aed34f14b3bb3c839193c4bda535d700205dd9	daa76aeacf4a3ac77ee9cb4f4f20da87142e261c9f11403d373e02234468b574
lock-shared	1	1	02	ExactSiblingDelete	none	false	21549bec4109e179a35494fa63c550c8217de7fc725aaa728ff6b5260586d888	b89e0ad8ae266133d214f81cf2f6c7d4be36bc5b3c95f37aa93c7e32a7dc01d1
lock-shared	1	1	02	ExactSiblingOpen	uncertain	false	79d27a2a0955c7cb86eae8daeb1c090ccf0450e664d0120b5db167ff7e4ea86a	ce747e7cd605d25823cae3eed2fc435bb265d54bdbe51b311be4e83c56bafd38
lock-shared	1	1	02	DmsTruncate	uncertain	false	6f6578710bf8e37b0d137244d2cc9986f9438236bfbbc214f8b9a665cf802d18	c1bad1604c668b67beb3ddc373a9a46786f5adab1a19b59310ea041437bae236
lock-shared	1	1	02	FileClose	uncertain	false	5a57d38504c96d2e4bb1e3e77cc0a83a535c9683653cf03b803a16ff36fea643	4ee29879173441c8e9aec128c187863833b3237ff463023e1006030638897728
lock-shared	1	1	02	ExactSiblingDelete	uncertain	false	5f0a8cde9e124599aa77db917c603fc8f6489965c9768f680e799ef3037a4122	153553fc43118ad40a8660e2bbe6d71f34cb0e547ad262512b15a3268ed7571e
lock-shared	1	1	02	FileGrow	uncertain	false	8063a3e60e3ef948f72e146e5a4c14bfa6a583e3a836fd9c3d4401c9aec4704b	73919761ee0b7a5e35f79fcb912d64c84f7daae333417973e08fbde404d4da8c
lock-shared	1	1	02	MappingClose	uncertain	false	2b7e7ef00eab6ca6aa9f4a1dfe90bb77f0f8a4dcda759a5b90db3220438810dd	0f5df74c05dd1ab7105386f8c7f00971d7c76b75855281d7298eb9c6cf57f599
lock-shared	1	1	02	ViewUnmap	uncertain	false	b9242956c1125fa25adba7c98b27644588ae0a99bc84e2252181c2a6d541b83e	6380d809d7b8aadd2bc03be0d93528ee1a018fa88abb6206e7bba5981821f280
lock-shared	1	1	02	LockRelease	none	true	67b0cc002231874c5d9c32c74427060e3864c21874aef1c715f9385eddb401d1	2f7e94d23e90eeae99d7339100945ef24822c7febfde4d2df1b756f7860ba93d
lock-shared	1	1	02	ConnectionDetach	none	true	41e810f6c5f18dd9666359633c11fd78c41757fb0f3875ac4ffaffb091064355	129ab323ace0530ca09513184d18f78deb7512bdfdcd27972cd32acc89c931ff
lock-shared	1	1	02	DeleteAuthorization	none	true	f1dced54479f485e89636dc80165927ffe117027e831d8a78e8eff8477c6520a	af72260082fb5d04066763ff23801ee00e9cb2a396e435b32a3369df257422f0
lock-shared	1	1	02	DmsExclusiveRelease	uncertain	true	d7b6c23794a4f8c6aa8c7af338787cb4a5819249d31b05b3151c75bf9c18bc91	f0220fb9a4fcb086bc9099146f58110eb2619a18615b317e22182da2ba05c3fd
lock-shared	1	1	02	DmsSharedRelease	uncertain	true	680b13f9c4476c9e45c9fd1d0f14dd1e520119bdf93fead69be2e44d0f873cab	50ba0cfdbfeaa39c3d86eef67b237431e8435fb44b83bf5cadcbbaf79ee31339
lock-shared	2	1	04	Gate	none	false	624387964595136817d62af09f95f27f2d61f705efae47889174f8a518c0236d	e67ed55c398458306520c6ecbb0e4d74f1ecebe98d509d1292b48a098f803e87
lock-shared	2	1	04	FileClose	none	false	e4292cac426102f2eb2d5cbd1a4ff111b4db4a186390c1342c63bd0c20126472	6a0832e59d86b3bdcf33368118423d6933278d92543eb577fbbf25225065d6d3
lock-shared	2	1	04	ExactSiblingDelete	none	false	99646e91ae25a10c95d5c8257716043f8aa9e78c3634ca839aa13509a7c7651b	d13ed340e630f0607bcf1bfd02feef0947933aa9cf98e9020bea52fc3ae941c0
lock-shared	2	1	04	ExactSiblingOpen	uncertain	false	4d9aa84e0c7dd4a13c9a1bc882351e0192bbd06d085ab6c0e9ad441c448a3eec	5da2092e13defa1705a9fdcd6469f82cbcabc8d6a5f1fb5a150ef14c4a64c324
lock-shared	2	1	04	DmsTruncate	uncertain	false	ad202e4a4a62629466aa9e147664a7334ed2804f3578a6963d503700b45f0afd	483492f5940a6f9ee01223404ca05327c10982e3618c2e45e1391b3d07355db6
lock-shared	2	1	04	FileClose	uncertain	false	0a53026299bba75547e904ba3004e203cd39256295bf3a0dd5253155a729fe75	642e1c7955aec136ebb8688f05590f47bc9d7779c10b7ea254d1b6383b41da30
