root	leaf_id	outcome	shard	case_key_sha256	full_record_sha256
lock	lock.abi.invalid.offset-invalid.count-invalid.flags-invalid.terminal	terminal	145	599d0ca111195f3bf2313e550808c69a030669bf0f0b1df0b4d99eaed9fd95e0	ac427f22ca8ac413c6652ce35a00e596b801fa5c849f48c47950284b785e41ac
lock	lock.abi.invalid.offset-invalid.count-invalid.flags-valid.terminal	terminal	219	3d01852632a43b4d2e5dea2ad064f778a09d7fe6b3f31f8b3ee495c3c1079fde	8d8d4ca8defd924de28c5d2e8e24110e4901a5ef789f3724cbe07b7dc8fe034e
lock	lock.abi.invalid.offset-invalid.count-valid.flags-invalid.terminal	terminal	118	be843335fce6b163e0dc866ed2d1556c71c69d40c4f6831e0de6837499f3e7d4	f5b549f1b2d4be5032c479e3ce03a04146ded45758c9267b53e6a6691ee490e8
lock	lock.abi.invalid.offset-invalid.count-valid.flags-valid.terminal	terminal	155	695a6e732e06b3fbbe6e83e5f80e0b6071224a64c142c7f48e6ffb3570b420d9	a2bcbc5d32ddd8e60cfc6c22baf6413fa7f1489b78ed53dc7c33600397846ee5
lock	lock.abi.invalid.offset-valid.count-invalid.flags-invalid.terminal	terminal	008	7a67b935d0c16adde13e9720a31911a400702f2907c76ecf05bfcd4e5f7b4dba	233a622a6c03b3f22fccba636514249d87fca188cd26b681939fd4ed3efadea3
lock	lock.abi.invalid.offset-valid.count-invalid.flags-valid.terminal	terminal	215	4af914765d8e785c93c7a330b28c38d86a30bf486f53a18a0eb673edddb65f62	dd903fa28b98f86d2c7a7f9330b6ccb71c2911073e000b9ef1b652706e04ee7b
lock	lock.abi.invalid.offset-valid.count-valid.flags-invalid.terminal	terminal	208	76bd9ccd0494737aab9c3c6076cf5e480df2644d46f6a5693978b6daaf849e27	811c20ea5574e41020ae0c7078633e867eb19a92c0d50c43a68100e63c0b1bbc
lock	lock.raw.excluded.invalid-envelope-pointer	excluded	070	7636c09d8938112253593b522c560dc8bfc63d599e8fdddff892ffef601f51ea	809e4aa103aac100e61ba149c77d3ded02b42d89b0bfef953aeb944a3e9aface
lock	lock.raw.excluded.invalid-file-pointer	excluded	107	75389415c43431735847cfe1055479c257046baefc10aa1c29c4e64f36f7360f	f0de9f7317e45a0b9e64703e58c449171101ea3da0e228a9e3da4021f23c5549
lock	lock.raw.terminal.exact-methods-state-null	terminal	151	520f219e3e4597c6c48adcb86a034aef246b97e02ea8ef5d67e6685be490251c	a0d9f0f078122268b217830f5e7c479428fcaf4e80f4c12a109ce1207d09400f
lock	lock.raw.terminal.expected-type.payload-missing.drop-completed	terminal	169	93dc7713dd4a0bb40aab6828dee2c67810936ae825e381f6485bf0edd8efc807	cd699b7ad4457d2a41895efc5f4e4a5f11812b4a88973975b631d6022140627a
lock	lock.raw.terminal.foreign-methods-state-null	terminal	224	d2edbf72e2b6ea3ecfb41f46bceaf70dba60f444f0fb5daf1c919a1889517b10	95ebda3b1b5e032848fe4451d21ca5def883398ed62baaf4d5bc7e2240de917c
lock	lock.raw.terminal.foreign-methods-state-present	terminal	084	ea0998e264257da80cbf656da9f162daa438deffb4705bb41b8df00d7c06ded7	fcc7aa89dedbd37ad8a272d39e0e93570122654ed6ae5e132a2270351380a0e3
lock	lock.raw.terminal.handle-bound-file-missing	terminal	095	0464f6d359bd6c8fdc2ba53487da4b73c8de1cf808d083c187bcb5244e619790	4f73974cb4c4bc9fca70ca94ed0d7eafb03511d247e7a67bcdd599b809ad7e21
lock	lock.raw.terminal.methods-null-state-present	terminal	095	dacddaa7392423cb37a72d4f3181adb62cbb3ef317d30189c34da13a9cf7c91c	a64803f8ef594651f722d46ae9541376198acd0515d3a766b5abddb46327a487
lock	lock.raw.terminal.null-file	terminal	039	3613f596a6f347b9b0dd9f72a9f5550c070649fec89352b373e5b13df96e9462	1128c2e0fb8d7e674552e914f201c728e9f0360bba9984cd4e015a5deb1e1fea
lock	lock.raw.terminal.type-mismatch.payload-missing.drop-completed	terminal	211	ba2455483af9f37ee2cba8d36c0b5a1228354d3ce26d6129d6cb8e2ce4cf1591	0933d7dbae250976268774944297196f0b6d71aff732b1a485743e6e132f6af7
lock	lock.raw.terminal.type-mismatch.payload-present.drop-completed	terminal	054	fd9037e5c5f50f7ff6d5bf51de54a77e9b1e1838bf497a8acb5b30a437e94d71	3e99ac7f8dfcfb90ab88021408488adee862dc973058013ba6f1c3a12266a306
lock	lock.raw.terminal.type-mismatch.payload-present.drop-unwind-caught	terminal	138	87e296ed9e67f4b77660d9b417709aaf8a74a224e5f1bdd89fdb148380d48dd3	8486d9d3f2927dfa1361e2fbda651eed8afe79a52c0d29ffc8ac95adae69d6d2
lock	lock.raw.terminal.uninstalled	terminal	192	ce051987bb1646d88111d2204a4e6546406c438efa811e193af74026806673b8	bedd5e49e08955663aa3d5c0bf9b95bfd7faf29eca583483a519186fc113bd45
lock	lock.request.lock-exclusive.first0.count1.mask01.admission-rejected.counter-overflow.terminal	terminal	033	f77b7b9f3920f3f42102f14c82ab05d89e4baa58ab0b1f4ebb519f42ffe8ac9b	e5635dd4373b8a682b4aaf5da05b5ef4f7529bd959b361b0440fa1d63e24d3bc
lock	lock.request.lock-exclusive.first0.count1.mask01.admission-rejected.excluded.identity-mismatch	excluded	008	8dd9046abe9823c8d9fe85513f9fa49a1aa3735e01fc69725235d43dd4dfbecf	24f50e91554aa8b442a25e4bcd26179d52691f7d60a3b7991d52b6f3d9da0a94
lock	lock.request.lock-exclusive.first0.count1.mask01.admission-rejected.excluded.owner-poisoned	excluded	130	d83d1c31a2d8499d10b3e0c14edc91bf34f499ddecde6b840ea3492d9282486c	a01c002809d710ae427077e549be30e118c3b6565878f4c580b0893b98253610
lock	lock.request.lock-exclusive.first0.count1.mask01.admission-rejected.excluded.state-shape-invalid	excluded	195	e608d96a7456435363cc4a1f842419bb1906f6eada548e3ce61e88e8eba1eeb2	ce27bf9e8bbc04ab2c2634f99ab3d48bb19c7676e9b304afd02a0df2a2e6ad07
lock	lock.request.lock-exclusive.first0.count1.mask01.admission-rejected.excluded.terminal-phase	excluded	247	29d90ea7b5b56ffa60c48e3d564072f3eb1692cbe0ff6f1aa36f62633a626f62	192e8908bcd9e4512fc0671076fd0575f468f7303180053b5649b6a724dbbe91
lock	lock.request.lock-exclusive.first0.count1.mask01.admission-rejected.excluded.wrong-phase	excluded	210	8eeea0d1857a329d3895d80bfefefbfd0aa71eea6248d8e438e83794980e4748	c5580b5cd66a6207d5e72a21ea733d80f01dbaca12fe55610415f297c8d1ed0d
lock	lock.request.lock-exclusive.first0.count1.mask01.admission-rejected.route-unknown-prior-quarantine.terminal	terminal	163	ed23143996748644b45f6ad7799a699a82ce44c22f1298760981748e76fd7e7c	2d2b6167eb9dd33b8c347f65c28e0439b9ca289c03659ff65e49370b3264c212
lock	lock.request.lock-exclusive.first0.count1.mask01.coordinator-mutex-poisoned	excluded	212	6c8688126b5871a94cacd35e558f8978e093895fc6226309cdb61ded9d8c29e6	950c332bbaeaffb63e3f369ddf1052964a33188442c0ed0b9e934eb2631e7707
lock	lock.request.lock-exclusive.first0.count1.mask01.custody-invariant-unwind.excluded	excluded	122	f288e2d5ab31faf98b5dad14b68d9268a7b8bda74418a75c9a9706444c12c4d8	112c05a7305bd9405f50dc918646095b6e68877325ac9ae153a007389c2d10ef
lock	lock.request.lock-exclusive.first0.count1.mask01.domain-already-poisoned.connectiondetach.mutation-false.lock-true.retention.excluded.identity-mismatch	excluded	025	47d3afdfdd8573fb85abf18afbe4d7d3f7194bb260b5748d93ce3433cac79a0d	eb6dff7d2c84174a77fa6aefa09eb26a92fedae92d118a2637542350e6484cd6
lock	lock.request.lock-exclusive.first0.count1.mask01.domain-already-poisoned.connectiondetach.mutation-false.lock-true.retention.excluded.owner-poisoned	excluded	188	fb3b8475bb7b59b2f55b65d9a0dc8da6dca8fbfbe65385f468afb24b14fd0be3	501d7cd0f93027d50725394cf0b0a424e09cc9dd83ca951321b3e70277b7e1ca
lock	lock.request.lock-exclusive.first0.count1.mask01.domain-already-poisoned.connectiondetach.mutation-false.lock-true.retention.excluded.validated-route-disappeared	excluded	081	c68c4f9c51d11cc1987f31cd9cbac487fc0123efe6086949e81599bb86f03a9d	d3e9b8ea41cb2975dafed37459e56fb8ea56f26f5bf6a73af8a5a47fa15b4743
